i,j,w
1,5,0.7142596059747564
1,6,0.651072243923591
1,7,0.6650075166588807
1,8,0.6082452857659546
1,10,0.5997458587058134
1,12,0.6874338420101023
1,18,0.5691426221632754
1,20,0.5899320240048131
1,25,0.6354364247556002
1,27,0.5964157732189495
1,32,0.5624481752735401
1,34,0.5665024792359561
1,36,0.5914060938411043
1,38,0.5789463840039742
1,42,0.5916071642909264
1,43,0.5599915889519151
1,50,0.6308704502141983
1,54,0.737075170175557
1,58,0.7257163720664103
3,7,0.5835909090010388
4,6,0.6186924717602242
4,8,0.5635348229886489
4,20,0.5510555152335949
4,22,0.5833854773072887
4,27,0.6885528321211533
4,32,0.5532006857404187
4,34,0.5998476118969991
4,38,0.562901657305005
4,46,0.5519522629832102
4,50,0.576642306550282
4,54,0.6856291711007745
4,58,0.6204035968420237
5,12,0.5836519547362612
5,54,0.5546356480988545
5,58,0.6051125599455726
6,8,0.6434008320639872
6,12,0.777684369853157
6,13,0.6509316075326737
6,15,0.6036004024985733
6,17,0.6567844596278847
6,20,0.6371012717810747
6,27,0.7419799826041991
6,32,0.6293853457361638
6,34,0.5946871672636674
6,36,0.6773790352882938
6,38,0.6536360292992297
6,42,0.6232528584163091
6,44,0.6137430333443783
6,46,0.686952563239257
6,47,0.6295303576155
6,48,0.647154852078599
6,50,0.6326525638983123
6,51,0.6595474452680148
6,54,0.6610908658006424
6,58,0.5571066578431036
7,10,0.8719396660251437
7,25,0.7111718196408966
7,54,0.6320451872491968
7,58,0.7017752392779043
8,12,0.658318815596196
8,15,0.5520312170310112
8,42,0.5566222523564404
8,46,0.5741918273060221
8,54,0.5600251144407328
8,58,0.5834117102823176
10,25,0.6540692401736737
10,58,0.6481335384255213
11,13,0.5516454814606127
12,17,0.5853216201783523
12,20,0.5508260375577475
12,27,0.6832752450003493
12,32,0.5631381151214053
12,34,0.5538078559267638
12,36,0.6497101333475712
12,38,0.6092791696098476
12,42,0.6828339136514276
12,44,0.557821359262492
12,45,0.6009626654394242
12,46,0.5890006209113946
12,47,0.6151840639258792
12,48,0.5751040596107113
12,51,0.6138091746790053
12,54,0.6710714611473969
12,58,0.6161177330838216
13,17,0.6115548052680108
13,27,0.6440564914688102
13,32,0.5993573739968096
13,37,0.5783139016146419
13,38,0.5825205488695636
13,42,0.5572759335484018
13,44,0.6028633423984113
15,51,0.5929588449520342
15,54,0.6613765051522009
15,58,0.5891740799646699
17,27,0.5885296617189624
17,32,0.5994846262859582
17,34,0.6037672821796986
17,36,0.5601109969625823
17,38,0.619696231698116
17,42,0.5942750289995101
17,44,0.6123143176011404
17,45,0.5508747484079911
17,46,0.6310094043684974
17,47,0.6311672708057022
17,48,0.587884723606027
17,54,0.5616864751089397
18,20,0.6916494243040747
19,24,0.6015839679159096
19,39,0.8100045234118394
19,41,0.6418149908995312
19,55,0.6157884096286166
20,27,0.5694816010567354
20,36,0.585429690383782
20,44,0.5729955728667298
20,54,0.6594507583981573
20,57,0.6226053795288576
24,39,0.6352548188758462
24,41,0.5902770406101068
25,58,0.6247287912383844
27,32,0.6689893773519798
27,34,0.6501036310061253
27,36,0.6715254988186274
27,37,0.5609488955827647
27,38,0.6425558895109701
27,42,0.6628547783981026
27,44,0.5896521091582904
27,46,0.551616969894238
27,47,0.6213912023988413
27,48,0.6070445804609137
27,50,0.6145114328041607
27,54,0.6578519646931563
27,56,0.5725805858507785
27,58,0.6103118741375367
30,31,0.6097968257446572
30,37,0.5567872584368639
30,42,0.5683896674932344
30,43,0.5519714983350483
31,37,0.6751499437223398
31,38,0.5553052465387098
31,42,0.6858638982417611
32,34,0.8545320145224816
32,36,0.8799480394540088
32,37,0.5802784870861433
32,38,0.8675854986331025
32,42,0.6759392691423677
32,43,0.6483630827111335
32,44,0.8486863076369048
32,45,0.6491498597894182
32,46,0.5810008867538843
32,47,0.6055628841837342
32,48,0.5800108151556984
32,50,0.6425024153470293
32,52,0.572295464252066
32,54,0.677555518232977
32,56,0.624000139662709
32,58,0.5675248354837836
33,37,0.5532921647515159
34,36,0.8461411820268154
34,38,0.8949134461482837
34,42,0.5913882049613564
34,43,0.6129429462786434
34,44,0.7537030321651336
34,45,0.6684354264645319
34,46,0.6393468369336518
34,47,0.6080133486140943
34,49,0.5625910605448456
34,50,0.6463320398908451
34,52,0.6234270666209033
34,54,0.7399839731726706
34,56,0.5849640698095939
34,58,0.6033565317872907
36,37,0.5635665489646925
36,38,0.837445694752542
36,42,0.6869500941851225
36,43,0.5671510602287002
36,44,0.8650944695904551
36,45,0.6426152490161803
36,46,0.5786144610029896
36,47,0.5578446203374545
36,48,0.5627173445340661
36,50,0.5972221930111175
36,51,0.6299459699413418
36,52,0.615451439263487
36,54,0.7386227792149186
36,56,0.5885704248486389
36,58,0.6131969241578857
36,59,0.5613438241562186
37,40,0.5825549976478175
37,42,0.6860094836484826
37,43,0.552634537570745
38,42,0.6264455431514795
38,43,0.6502296800214747
38,44,0.8209776371226027
38,45,0.6567089902815837
38,46,0.6428892202945122
38,47,0.6120289745673926
38,50,0.6711735081912803
38,52,0.5959839032390506
38,54,0.7292971709427152
38,56,0.6309430274963277
38,58,0.5667051028889449
39,41,0.7071712211144799
42,44,0.6786021236636564
42,51,0.5631971302883472
42,54,0.6995383002697247
42,58,0.6466942787687991
42,59,0.5567651341739833
43,44,0.6412786973816066
44,45,0.6223212563305778
44,46,0.5781892323151595
44,50,0.5970126434147959
44,51,0.5666262108557968
44,52,0.5772205606088435
44,54,0.6547646244779043
44,56,0.5743163002058046
44,57,0.5956597538118321
44,59,0.5518328064945296
46,47,0.6181063861570415
46,50,0.6179816564679231
46,52,0.6140230671618421
46,54,0.5758680225681717
47,48,0.597402983901254
47,49,0.664258262722897
47,50,0.6349171466813328
47,56,0.5814049532601796
47,57,0.5543817449109385
48,56,0.5864331077287231
48,59,0.6237143438211205
50,51,0.6037624406030764
50,52,0.6085726973343986
50,54,0.6585892790318282
50,57,0.5625079560187737
50,58,0.5851401537687281
51,54,0.6248497365343764
54,56,0.5558622953526334
54,58,0.8620112470014435
57,59,0.5561827859095453
