i,j,w
0,1,0.8056839642957441
0,2,0.7135644911899989
0,3,0.8500322034257372
0,4,0.7528127790157364
0,5,0.7550285422777436
0,6,0.5967613194848045
0,7,0.8279231643640601
0,8,0.8104782033539548
0,9,0.6744139940934815
0,10,0.8574614927588785
0,11,0.7467815558175218
0,12,0.5935437413010841
0,13,0.6363642942800044
0,14,0.7470807941399029
0,16,0.6676923811007539
0,17,0.6967565551455096
0,18,0.6420158803048012
0,20,0.696533573738478
0,21,0.5720929397341986
0,22,0.693473176755095
0,23,0.7829122647650261
0,25,0.7709482012367938
0,26,0.6883045245289834
0,27,0.7353393298138321
0,31,0.6241541267762613
0,32,0.6212481574113319
0,33,0.5674456974349463
0,34,0.651755203611969
0,36,0.6566888493478001
0,38,0.7235089516599587
0,39,0.5958388857187474
0,42,0.605179824179613
0,44,0.6315582859940374
0,45,0.693945104273907
0,46,0.7955423598939328
0,47,0.5698575599450708
0,50,0.5702999044374111
0,51,0.6291704048958026
0,52,0.5929990094729252
0,54,0.8385145029012628
0,55,0.5547709897799794
0,56,0.5683839168349623
0,57,0.6486269746394373
0,58,0.7806449163105162
1,2,0.7420200541517261
1,3,0.8214468128207204
1,4,0.7314494867302967
1,5,0.8576861878454277
1,6,0.5955643828469512
1,7,0.7792143629887234
1,8,0.8673700524962263
1,9,0.6807231713881969
1,10,0.8601979593964137
1,11,0.769340490252043
1,12,0.5906032133274843
1,14,0.636430316186252
1,16,0.690150342874071
1,17,0.7397868549616853
1,18,0.7391411044167129
1,20,0.7427249092784395
1,22,0.7500419461807348
1,23,0.7875165517652738
1,25,0.7849724126424535
1,26,0.577815968717414
1,27,0.7150678845417122
1,34,0.6887753129513428
1,36,0.6195679345394575
1,38,0.7111909093633438
1,42,0.6377878565348983
1,44,0.5644125463967713
1,45,0.6351002744109899
1,46,0.6933881113895853
1,51,0.6296335369759078
1,52,0.5702970753348452
1,54,0.7807927225748081
1,57,0.6873418624858789
1,58,0.7089140126643617
