i,j,w
1,2,0.5942307997168125
1,4,0.5987723661560462
1,5,0.6410016720233265
1,6,0.5924988976532939
1,8,0.6607443742398262
1,9,0.5598562023063347
1,10,0.6496515026111365
1,13,0.6275420710701133
1,27,0.6025742939726948
1,33,0.6274212864635048
1,35,0.6284215178291728
1,42,0.6632636447380915
1,43,0.6020313999019511
1,45,0.5861672535968637
1,47,0.6138859282896317
1,50,0.6201764280910981
1,51,0.6159404551427193
1,54,0.6158718625018315
1,56,0.6162305200329563
1,58,0.6423187392376379
2,8,0.5512103295241092
2,27,0.6063004211154919
2,38,0.5564111037626863
2,47,0.5500625610056448
2,51,0.5783459457481839
2,56,0.5630420022156069
4,5,0.5504502039563139
4,6,0.594628337513374
4,9,0.599613360425708
4,10,0.649456462360924
4,11,0.6194377942641975
4,13,0.6758508011941188
4,27,0.8172443340439911
4,50,0.582822141180324
4,51,0.6060541059201955
4,52,0.5626018977544955
4,54,0.5686541713664481
4,56,0.6744175745053705
5,9,0.600368713081523
5,10,0.5817010983978466
5,13,0.6073606195824803
5,38,0.552805328477355
5,42,0.5528080502581718
5,45,0.553280824008186
5,51,0.6071085482905674
5,56,0.620752499346604
5,58,0.5826125883807981
6,8,0.6790563515731366
6,9,0.5509569533665256
6,10,0.6460277660280537
6,11,0.5574900204370168
6,13,0.6752002412894552
6,15,0.585653784423522
6,27,0.6170016505713669
6,30,0.5692900408877823
6,34,0.602375232428641
6,36,0.5767698287723915
6,38,0.5994155871151767
6,42,0.6040506343779894
6,45,0.6493661338596332
6,47,0.5675764189211316
6,50,0.6752976047573961
6,51,0.7158133626260157
6,54,0.6591978819288772
6,56,0.6588510252806413
6,57,0.6439732706194868
6,58,0.553234798352581
7,10,0.5833131375865375
7,30,0.5743891658053335
7,35,0.5630673725163761
7,42,0.5604282921104037
7,44,0.5603764439185156
7,45,0.5666766645886269
7,54,0.6400629884114148
7,57,0.5628431533424936
7,58,0.6233345536949068
8,9,0.6592343904174198
8,10,0.7403050184556982
8,13,0.6329671756396432
8,15,0.665334233438484
8,17,0.6353739273465333
8,20,0.5672114323926205
8,21,0.5767523165348198
8,27,0.5653926123571397
8,28,0.5593655294089145
8,30,0.5571910131548733
8,31,0.5886322883724118
8,34,0.6228041334066033
8,35,0.6819227140663987
8,36,0.6225997172948643
8,38,0.5815496085904757
8,42,0.7202417215824617
8,44,0.6383028990284947
8,45,0.6988322742822193
8,46,0.6875109330283549
8,47,0.5974265540108458
8,48,0.5763738186778588
8,50,0.7356746842757622
8,51,0.7449944397071669
8,52,0.5787163520512162
8,54,0.65265933932029
8,56,0.6046449142056369
8,57,0.7027812594240685
8,58,0.6199008997365797
8,59,0.5742259531590226
9,10,0.6844882875610436
9,13,0.5783200617144448
9,36,0.5555530008202726
9,38,0.5785683921823933
9,42,0.5946352466687025
9,45,0.6064789776974677
9,50,0.6163292954723893
9,51,0.6133318143439018
9,56,0.5515369735903798
9,57,0.5582048764262955
9,58,0.5863218759276435
10,13,0.6838598883734791
10,15,0.7436263433383807
10,27,0.6206179870225133
10,30,0.6279304379637011
