i,j,w
0,1,0.7469818140453005
0,2,0.7753449208534138
0,3,0.6937880273505058
0,4,0.6880882004037251
0,8,0.6876266961415022
0,9,0.6788841298980576
0,10,0.6861293584120409
0,11,0.6491951771413118
0,14,0.6829059231669385
0,27,0.6103889068860863
1,2,0.7543426474039941
1,3,0.7464433838936335
1,4,0.8067646930099113
1,5,0.650431967255043
1,7,0.605204424782293
1,8,0.8454527786207128
1,9,0.6682295632748806
1,10,0.786366251002276
1,11,0.7986741421862417
1,13,0.701563163033105
1,14,0.6832767974479479
1,16,0.6363613725969033
1,22,0.6887555752935963
1,27,0.7969622583980691
1,42,0.6268851696118642
1,55,0.5823280887951349
2,3,0.654783750893778
2,4,0.785018513118923
2,7,0.5568107700271967
2,8,0.744952340446836
2,9,0.6118725950649929
2,10,0.6988096789595378
2,11,0.7906094400812768
2,13,0.7539776564594054
2,14,0.6609792167295118
2,27,0.763691477924789
3,4,0.653519814513375
3,7,0.5666890356873949
3,8,0.7158826525880646
3,9,0.721903030796743
3,10,0.7854493672420383
3,11,0.6337992518617513
3,13,0.5992177730329735
3,14,0.6471940339752279
3,22,0.5579948416035312
3,27,0.61295097450281
4,8,0.8078330630840277
4,9,0.6204329618036073
4,10,0.6786651835423146
4,11,0.7636369558352045
4,13,0.7478466498674148
4,14,0.6203865831580551
4,27,0.8622955796524417
4,42,0.5505547467787676
5,8,0.6797012363099773
5,11,0.563721958369566
6,19,0.5715571423399209
6,39,0.5929358313136947
6,52,0.5633470728664325
7,8,0.5850953085099126
7,9,0.5976557401338176
7,10,0.7471515138337228
8,9,0.6114222991240372
8,10,0.7454388249338001
8,11,0.768909922900159
8,13,0.6088897995847571
8,14,0.6562106028612815
8,22,0.5906625123159274
8,27,0.8237944151577822
8,54,0.5849316937719549
9,10,0.6071739339782064
9,11,0.6063413561866783
10,11,0.6639791213485781
10,13,0.6946838512561182
10,14,0.5686835816952804
10,27,0.7083191708782076
11,13,0.6672125389462598
11,14,0.6698549117544953
11,16,0.553647037126933
11,27,0.7425292804744094
13,14,0.5592901533123104
13,27,0.712315147362233
13,42,0.6243604328522194
14,16,0.5580674550168079
14,27,0.5923524068218227
15,17,0.5674400294075683
15,26,0.5853624751002585
15,54,0.5558822156968811
16,29,0.5639388149144589
17,45,0.6840310450951039
18,20,0.8405879896704337
19,24,0.6730060269724905
19,35,0.6251838953571085
19,39,0.5803152339694724
22,55,0.5541123237939072
24,28,0.5551228521616187
24,35,0.6566675198114846
24,39,0.667988621730299
27,42,0.5811564557903138
27,54,0.5649367757008217
31,37,0.6079820922841558
32,34,0.7370357327422499
32,36,0.8312564856914818
32,38,0.7054507783149202
32,44,0.7607021557856174
32,45,0.6579270520277303
32,46,0.5953756714938561
32,47,0.6349579711744668
32,48,0.555453562252442
32,59,0.6042956796278433
34,36,0.7486768416852787
34,38,0.8259586007410932
34,44,0.7711044272092277
34,45,0.5614395989296134
34,47,0.6000691543209217
35,41,0.6041221638332865
36,38,0.7100490262039688
36,44,0.7174181146186449
36,45,0.6388270687268536
36,46,0.6468789303570915
36,47,0.6097845880869646
36,51,0.5609691658915182
36,56,0.565916887573678
37,40,0.559955634441562
38,44,0.6163654852363958
38,45,0.6242497603917588
38,47,0.5939946683701811
38,49,0.5554004565943162
45,46,0.5995053568027539
45,47,0.6806048352753018
45,48,0.5774941419699339
45,49,0.5776401958367551
45,51,0.6460271215342854
45,54,0.5624520410542162
45,59,0.6145477425764647
46,48,0.5509384653491106
46,51,0.6511691882910634
46,54,0.6417160571836296
46,56,0.6364561503715286
46,58,0.5592183508549718
47,48,0.564907366126928
47,49,0.780528916244959
47,59,0.5526605194365573
48,59,0.8659367128717759
51,54,0.6077043509386536
51,56,0.571835213697793
54,58,0.8604857518531908
