i,j,w
0,7,0.5630547469540499
0,34,0.6037174791789658
0,38,0.5820347590767498
0,46,0.5977511409421339
0,56,0.577168619515764
1,5,0.6158530488485645
1,8,0.559538833590234
1,10,0.6647884758773036
1,58,0.5923351803352059
2,38,0.5696321011681215
3,10,0.5886634531238102
3,11,0.570919321339246
4,12,0.5522946750025582
4,27,0.5889272490524436
4,32,0.5783466569918021
4,36,0.5965892652646443
4,44,0.5508679298807103
4,46,0.6265553289733108
5,10,0.6355723303018119
5,54,0.5803172664190637
5,58,0.6683908083580431
7,10,0.6833138806131662
7,13,0.640779818516054
7,34,0.5666404101013149
7,36,0.5875199774761422
7,38,0.5837308946795098
7,42,0.5577612842720978
7,45,0.560695795895881
7,51,0.5799858344509322
7,52,0.5612785206556135
8,10,0.5565649232684025
8,54,0.5841474455020823
8,58,0.5792118078442285
10,13,0.5666464771924544
10,45,0.5793253228819175
10,51,0.5835833148252773
10,52,0.5895633523786225
10,54,0.7607112833069049
10,58,0.6840961430206043
13,32,0.5840783491363856
13,34,0.5898564052660374
13,36,0.600436837912086
13,38,0.5621734910462004
13,45,0.5636505078970082
13,46,0.5792076667515161
13,51,0.5664744490275898
13,56,0.5582893312723877
19,24,0.5509858761046176
19,37,0.6019538771839184
19,39,0.7463392952308756
19,55,0.5511789798895429
21,25,0.5567987183605788
21,37,0.6067309560899595
24,39,0.6195392078211838
24,55,0.6599191075905818
25,37,0.5646427002358957
25,52,0.5625245708543408
27,45,0.578594138278392
30,36,0.5557582505372313
30,38,0.6536605718392782
31,40,0.6752520496089403
32,34,0.8091931977149676
32,36,0.8936719723259636
32,38,0.8537243710679084
32,44,0.8047719460037629
32,45,0.5517725402999426
32,46,0.765989358630839
32,47,0.7486334477102029
32,48,0.6429606918750037
32,51,0.6149473033304663
32,52,0.5508409962864594
32,56,0.7296040814898573
32,57,0.5617116977918917
32,59,0.7034639868906378
34,36,0.7699825145006346
34,38,0.782872426145202
34,44,0.773693746702961
34,45,0.6421282869114118
34,46,0.6699866338464538
34,47,0.6765577491221726
34,48,0.5607301832926771
34,51,0.5745747565294285
34,56,0.6287231040713833
34,57,0.5881874041096091
36,38,0.8335431001188992
36,44,0.8051827112575556
36,45,0.6337341604829849
36,46,0.7371134695871773
36,47,0.7267588312172569
36,48,0.554234240043247
36,49,0.559872606954466
36,51,0.6316661084051227
36,56,0.7475988126839871
36,59,0.6513422536623816
37,42,0.5643154725816513
38,44,0.7667785525365362
38,45,0.6338415331296207
38,46,0.7202860619806825
38,47,0.7449941353910415
38,48,0.6504445615338531
38,51,0.7331746198192708
38,56,0.7542391045121063
38,57,0.5946388899524885
38,59,0.6297029285940238
39,55,0.5508563104065684
44,46,0.716304558200995
44,47,0.6158650405731223
44,51,0.604392764499845
44,56,0.5908280058351348
44,59,0.57659279800618
45,46,0.6105491057700477
45,47,0.5633612136771311
45,51,0.6167393260990364
45,54,0.5509214322140173
45,56,0.6102127218532398
45,57,0.5687830138823188
46,47,0.5746105704991071
46,51,0.6260284036895347
46,56,0.653466227031032
46,59,0.6376257678478283
47,49,0.6091625736101305
47,51,0.6095671107315094
47,56,0.7533920242228457
47,57,0.5846346066874901
47,59,0.6362022584760202
48,56,0.5752290203501428
48,59,0.7957334962698409
49,59,0.5679857407600462
51,52,0.602756756259953
51,56,0.6667764228136744
51,57,0.6027092489475033
54,58,0.9047087793306121
56,59,0.6243105960967494
