date,y,num_edges
2014-03-31,-0.010097808814630117,289
2014-04-01,-0.014308148346054487,287
2014-04-02,-0.012845905828753907,294
2014-04-03,-0.01041679566843024,289
2014-04-04,0.007185614708179332,324
2014-04-07,0.006975318572054964,349
2014-04-08,0.0043719717294916655,335
2014-04-09,-0.01019861227623372,342
2014-04-10,0.017201407112912483,424
2014-04-11,0.040875273490164614,438
2014-04-14,0.033248593893913596,441
2014-04-15,0.02219481641576073,468
2014-04-16,0.004013869363420006,485
2014-04-17,0.0074570599172894235,493
2014-04-21,0.006438679408938102,507
2014-04-22,-0.008142370181509883,442
2014-04-23,0.00572917586053094,424
2014-04-24,0.009093534012138377,400
2014-04-25,0.028434000817464587,399
2014-04-28,0.03697702288481815,355
2014-04-29,0.026959712485370473,377
2014-04-30,0.02790455383417708,293
2014-05-01,0.024187033241987222,292
2014-05-02,0.027230576422749918,295
2014-05-05,0.023562164276824945,266
2014-05-06,0.038090953483280336,254
2014-05-07,0.04115796923399154,259
2014-05-08,0.047427312832276435,235
2014-05-09,0.04466035356979915,237
2014-05-12,0.03516335472769538,265
2014-05-13,0.03217016006354221,263
2014-05-14,0.029710284665736296,270
2014-05-15,0.03965861113800388,265
2014-05-16,0.03509754923328903,263
2014-05-19,0.03317014688117553,279
2014-05-20,0.04659435109335812,286
2014-05-21,0.038037847724435275,301
2014-05-22,0.03295159679707047,313
2014-05-23,0.027582935765346903,311
2014-05-27,0.015037861640842108,317
2014-05-28,0.023385097364367443,316
2014-05-29,0.016311368957973606,278
2014-05-30,0.018176009332847035,285
2014-06-02,0.01829369809147161,291
2014-06-03,0.028940252818949103,304
2014-06-04,0.02807141083496536,308
2014-06-05,0.026805948475506446,314
2014-06-06,0.016563506548520828,310
2014-06-09,0.007860800014756357,278
2014-06-10,0.011346052502319506,273
2014-06-11,0.00937540864060941,259
2014-06-12,0.019909388332582018,262
2014-06-13,0.025150735049709844,260
2014-06-16,0.021465372971085653,270
2014-06-17,0.019838696340519026,269
2014-06-18,0.0014671581885488116,274
2014-06-19,0.009836910448806946,284
2014-06-20,0.008637608509444257,259
2014-06-23,0.0122043871519426,258
2014-06-24,0.017564716720218202,263
2014-06-25,0.011999967502980617,271
2014-06-26,0.006575458544376407,265
2014-06-27,0.00465293894038222,265
2014-06-30,0.00042499828137626235,268
2014-07-01,-0.004537323648744124,224
2014-07-02,-0.02471966594182568,197
2014-07-03,-0.03278467769614322,218
2014-07-07,-0.01999817897634624,202
2014-07-08,-0.017730052614027565,133
2014-07-09,-0.02137055441276504,120
2014-07-10,-0.021437512600127842,119
2014-07-11,-0.01282697960753236,124
2014-07-14,-0.01644517247772609,109
2014-07-15,-0.016218222614883194,117
2014-07-16,-0.012654419377026929,115
2014-07-17,0.003234572399608192,128
2014-07-18,-0.004492327851229447,140
2014-07-21,0.006193195421581178,142
2014-07-22,0.007806765090216639,131
2014-07-23,0.01073440833669475,126
2014-07-24,0.013213924462719956,115
2014-07-25,0.01979961442781228,117
2014-07-28,0.02424792537966648,121
2014-07-29,0.0286818772115483,119
2014-07-30,0.025563311156888743,127
2014-07-31,0.043191692568167225,183
2014-08-01,0.04989383271500544,177
2014-08-04,0.04507721755018512,182
2014-08-05,0.051928588254897635,204
2014-08-06,0.05110918908577586,176
2014-08-07,0.06099471887882972,183
2014-08-08,0.048124328104656604,201
2014-08-11,0.037555936994121956,198
2014-08-12,0.044061642362710686,203
2014-08-13,0.03798859844140339,200
2014-08-14,0.02794435739747773,200
2014-08-15,0.02294530341320802,182
2014-08-18,0.021067022441819433,196
2014-08-19,0.017541281416872247,183
2014-08-20,0.02156039887463687,188
2014-08-21,0.017947170028825843,177
2014-08-22,0.009300014502338446,171
2014-08-25,-0.001133700469724548,177
2014-08-26,0.0075252799724322425,179
2014-08-27,-0.009631865584801433,192
2014-08-28,0.0011299262559480976,188
2014-08-29,-0.004930238321201776,175
2014-09-02,-0.009278970200641702,164
2014-09-03,-0.022592527821783667,173
2014-09-04,-0.022368772924657502,176
2014-09-05,-0.015346074494418254,176
2014-09-08,-0.016102534449639293,163
2014-09-09,-0.024831001343501156,166
2014-09-10,-0.011105810534469032,166
2014-09-11,-0.031731781435134374,165
2014-09-12,-0.04316614619493528,169
2014-09-15,-0.05479419758058164,178
2014-09-16,-0.060816859229477147,198
2014-09-17,-0.07005958070311576,188
2014-09-18,-0.08099590774420441,182
2014-09-19,-0.06513268442294687,178
2014-09-22,-0.047330972177531974,197
2014-09-23,-0.021790484366807854,228
2014-09-24,-0.039166683574041156,241
2014-09-25,-0.007589696716107484,319
2014-09-26,-0.009636060987458638,323
2014-09-29,-0.009443094229596747,302
2014-09-30,0.006724729580470119,296
2014-10-01,0.016845603535642215,328
2014-10-02,0.022790984314928098,333
2014-10-03,0.023347747427083586,362
2014-10-06,0.025617089418246943,374
2014-10-07,0.04102695072262309,471
2014-10-08,0.025566909084787173,608
2014-10-09,0.04957112863954354,719
2014-10-10,0.06555001757190196,672
2014-10-13,0.08569362164193985,680
2014-10-14,0.08542371174972184,660
2014-10-15,0.09216700744283958,642
2014-10-16,0.09723054506351692,585
2014-10-17,0.08303192360647033,673
2014-10-20,0.07283905539471583,722
2014-10-21,0.058171035985418784,771
2014-10-22,0.06386403968220968,764
2014-10-23,0.04979099873565955,812
2014-10-24,0.04884744600958163,714
2014-10-27,0.05309664502186686,711
2014-10-28,0.03934350301841923,731
2014-10-29,0.04743492357628837,707
2014-10-30,0.04206734158256486,672
2014-10-31,0.0215899670515321,682
2014-11-03,0.027021128858307507,654
2014-11-04,0.02989018492471452,642
2014-11-05,0.026864432196187994,630
2014-11-06,0.025423993086013546,584
2014-11-07,0.018840554567202045,572
2014-11-10,0.01211437450553631,577
2014-11-11,-0.004474149202729422,562
2014-11-12,0.0006757820246210593,568
2014-11-13,-0.013818320393506823,564
2014-11-14,-0.0213064437553168,555
2014-11-17,-0.031273170539780265,570
2014-11-18,-0.01589240324502622,573
2014-11-19,0.009982054308088763,537
2014-11-20,0.012545598820098458,533
2014-11-21,0.010715953647029895,513
2014-11-24,0.00826308353539555,504
2014-11-25,0.008653014462683947,513
2014-11-26,0.0073711852038993355,508
2014-11-28,0.0063525357452806986,470
2014-12-01,0.00814990827711895,457
2014-12-02,-0.006526200417846092,453
2014-12-03,-0.009780205434363884,436
2014-12-04,-0.027472177257251297,435
2014-12-05,-0.0379170019442121,412
2014-12-08,-0.018036190472491484,403
2014-12-09,0.002332173790518534,389
2014-12-10,0.00910071618140759,425
2014-12-11,-0.002392811338016488,436
2014-12-12,0.009263790494299423,436
2014-12-15,0.009045961843247852,440
2014-12-16,0.009677559001271045,442
2014-12-17,0.0006439540234403612,494
2014-12-18,-0.020747879571694237,569
2014-12-19,-0.016396745877730122,491
2014-12-22,-0.004580271408354635,489
2014-12-23,-0.00883041392641587,468
2014-12-24,-0.006812958894755778,473
2014-12-26,-0.025398750243468292,441
2014-12-29,-0.04054030402259359,449
2014-12-30,-0.0257006412920273,430
2014-12-31,-0.030295370414554615,450
2015-01-02,-0.016340217983690564,398
2015-01-05,0.01743777789501666,406
2015-01-06,0.023411128825323174,348
2015-01-07,0.02392107862949505,349
2015-01-08,0.00023780665752196235,360
2015-01-09,0.0047637686767002365,382
2015-01-12,0.024065246704697014,411
2015-01-13,0.026542545892851148,447
2015-01-14,0.0433159301221784,424
2015-01-15,0.05722212849933709,432
