Date,AAPL,ADBE,AMD,AMZN,AVGO,CRM,CSCO,GOOGL,INTU,META,MSFT,NVDA,ORCL,QCOM,TSLA,CMCSA,COST,DIS,HD,KO,LOW,MCD,NFLX,NKE,PG,SBUX,TMUS,TXN,VZ,WMT,ABBV,AMGN,BAC,GILD,GS,JNJ,JPM,MRK,MS,PEP,PFE,PM,TMO,UNH,WFC,AXP,BRK-B,CAT,CVX,DE,GE,HON,LIN,LMT,MA,NEE,UNP,UPS,V,XOM
2014-01-02,17.140661239624023,59.290000915527344,3.950000047683716,19.898500442504883,3.9071242809295654,54.20144271850586,15.232580184936523,27.62751579284668,68.58702087402344,54.28401184082031,30.760923385620117,0.37384364008903503,31.60986328125,52.17066955566406,10.006667137145996,18.25933074951172,93.751220703125,68.57755279541016,61.6106071472168,27.71059226989746,39.67189025878906,70.22950744628906,5.183143138885498,33.43836975097656,57.01865768432617,30.29298973083496,32.08467483520508,30.83261489868164,26.088621139526367,20.765953063964844,31.909839630126953,82.1580581665039,12.611905097961426,51.957183837890625,139.7003173828125,64.8702392578125,42.197715759277344,32.315895080566406,22.64458465576172,56.86792755126953,17.263099670410156,47.167816162109375,105.42201232910156,61.02436447143555,32.000953674316406,75.42568969726562,117.5,65.89124298095703,74.0290298461914,72.31292724609375,108.571044921875,63.00981521606445,103.52649688720703,104.55864715576172,77.42222595214844,15.248006820678711,63.75434494018555,66.87316131591797,50.66695785522461,60.11762237548828
2014-01-03,16.76414680480957,59.15999984741211,4.0,19.82200050354004,3.9219653606414795,54.45831298828125,15.218737602233887,27.42597770690918,68.46056365966797,54.13517761230469,30.553974151611328,0.3693651258945465,31.52606773376465,51.86470031738281,9.970666885375977,18.12447738647461,93.3374252319336,68.43368530273438,61.51296615600586,27.574289321899414,39.27870559692383,70.3241958618164,5.187142848968506,33.348602294921875,56.9549674987793,30.206615447998047,31.036657333374023,30.968530654907227,25.779821395874023,20.697521209716797,32.10628128051758,81.21443939208984,12.854744911193848,51.34235382080078,140.69534301757812,65.45458221435547,42.52392578125,32.47260284423828,22.994873046875,56.96488571166992,17.297101974487305,46.89913558959961,105.82588958740234,61.45807647705078,32.22840881347656,75.67021179199219,117.56999969482422,65.85458374023438,74.1542739868164,72.63343048095703,108.49211883544922,63.14936828613281,103.67039489746094,105.26730346679688,77.11312866210938,15.267923355102539,63.65519332885742,66.72428894042969,50.701358795166016,59.97298812866211
2014-01-06,16.85556983947754,58.119998931884766,4.130000114440918,19.681499481201172,3.8952488899230957,53.57899856567383,15.239508628845215,27.73175811767578,68.40640258789062,56.754615783691406,29.908294677734375,0.37431517243385315,31.400365829467773,51.7295036315918,9.800000190734863,18.106731414794922,92.6291732788086,68.1729507446289,60.919517517089844,27.444801330566406,38.72502899169922,69.82156372070312,5.136713981628418,33.09218978881836,57.089439392089844,29.900442123413086,32.190433502197266,30.710988998413086,25.923574447631836,20.581737518310547,30.933767318725586,80.51206970214844,13.050580978393555,50.59624099731445,141.65887451171875,65.79663848876953,42.770389556884766,32.479129791259766,23.075145721435547,56.992610931396484,17.314105987548828,46.57012939453125,105.83551025390625,60.7542724609375,32.28525924682617,75.6364974975586,116.27999877929688,64.98941040039062,73.95746612548828,72.03254699707031,107.62352752685547,63.08659362792969,103.51848602294922,104.70896911621094,76.73077392578125,15.275154113769531,63.01038360595703,65.85699462890625,50.39646530151367,60.06340026855469
2014-01-07,16.735029220581055,58.970001220703125,4.179999828338623,19.901500701904297,3.9323554039001465,54.29035568237305,15.447223663330078,28.266382217407227,69.59860229492188,57.46900939941406,30.14006996154785,0.3804437220096588,31.71879768371582,52.11374282836914,9.957332611083984,18.74909019470215,92.19941711425781,68.64048767089844,61.220001220703125,27.526586532592773,38.82131576538086,70.2076416015625,4.849999904632568,33.11781692504883,57.641658782958984,30.308679580688477,31.940452575683594,30.54645538330078,26.24834632873535,20.6448974609375,30.995149612426758,82.60505676269531,12.925243377685547,50.27845001220703,140.805908203125,67.193359375,42.277435302734375,32.72074508666992,23.002161026000977,57.82380294799805,17.42178726196289,46.433048248291016,107.99917602539062,62.6119499206543,32.27104949951172,75.34978485107422,116.19000244140625,65.2020263671875,74.58365631103516,72.35302734375,107.74197387695312,63.34469223022461,104.11807250976562,106.37679290771484,77.79955291748047,15.387372016906738,63.56743240356445,66.07058715820312,50.78160095214844,60.913204193115234
2014-01-08,16.84101104736328,58.900001525878906,4.179999828338623,20.09600067138672,3.9909791946411133,56.256465911865234,15.433380126953125,28.325199127197266,69.20923614501953,57.77659606933594,29.60200309753418,0.38562944531440735,31.609867095947266,52.42681884765625,10.085332870483398,18.72069549560547,90.75907135009766,67.63346862792969,61.542972564697266,27.21989631652832,38.95773696899414,69.50102996826172,4.871285915374756,32.946868896484375,56.8062858581543,30.63057518005371,32.02698516845703,30.968530654907227,26.103031158447266,20.481740951538086,30.915342330932617,82.21485137939453,12.987909317016602,50.748233795166016,140.9244384765625,67.1007308959961,42.67616271972656,32.51178741455078,23.031354904174805,57.657554626464844,17.540803909301758,45.65989303588867,109.6627426147461,61.88361358642578,32.64068603515625,75.58649444580078,115.33999633789062,65.35601043701172,73.52217864990234,71.5759048461914,107.42616271972656,63.093570709228516,104.669677734375,106.29805755615234,77.77630615234375,15.436237335205078,63.6856689453125,66.0188217163086,50.94436264038086,60.714290618896484
2014-01-09,16.62594223022461,59.09000015258789,4.090000152587891,20.050500869750977,3.950164318084717,55.61427688598633,15.294898986816406,28.05242919921875,69.38127899169922,56.77446365356445,29.411617279052734,0.3712508976459503,31.551198959350586,52.590484619140625,9.835332870483398,18.766836166381836,94.3082504272461,67.34573364257812,61.27259063720703,27.076786041259766,39.118228912353516,69.5374526977539,4.815000057220459,32.946868896484375,56.93370819091797,30.461769104003906,31.757774353027344,30.80399513244629,25.564823150634766,20.550159454345703,31.44329071044922,84.35037231445312,13.183751106262207,51.328529357910156,140.10304260253906,67.50691223144531,42.596412658691406,32.335479736328125,23.024057388305664,57.387428283691406,17.529468536376953,45.681827545166016,109.62428283691406,62.260032653808594,32.811283111572266,75.13842010498047,115.31999969482422,65.77394104003906,73.52217864990234,71.2874755859375,107.46562194824219,63.114463806152344,104.72565460205078,106.46268463134766,78.40462493896484,15.568353652954102,64.57843780517578,66.0964584350586,50.87330627441406,60.123653411865234
2014-01-10,16.515005111694336,59.529998779296875,4.170000076293945,19.882999420166016,3.95535945892334,56.26634979248047,15.38491153717041,28.05094337463379,69.02816009521484,57.48885726928711,29.83379554748535,0.3707793951034546,31.936683654785156,52.56201934814453,9.714667320251465,19.00106430053711,93.78303527832031,67.78631591796875,61.60307312011719,27.34938621520996,39.864471435546875,69.78517150878906,4.744856834411621,32.87422180175781,56.848751068115234,30.489255905151367,31.7481632232666,30.83975601196289,25.699382781982422,20.537002563476562,31.246845245361328,83.71182250976562,13.13674545288086,51.72231674194336,140.88494873046875,67.5140380859375,42.40068054199219,32.57054901123047,22.84162139892578,57.83766174316406,17.393444061279297,45.27605056762695,110.06661987304688,61.13071060180664,32.65488815307617,74.85946655273438,114.97000122070312,66.36045837402344,72.16251373291016,71.91236877441406,106.4391098022461,62.89822769165039,105.91683197021484,106.97811126708984,77.5830078125,15.790966033935547,65.00189971923828,66.3553695678711,50.69449234008789,60.581687927246094
2014-01-13,16.601470947265625,58.599998474121094,4.130000114440918,19.548999786376953,3.9063804149627686,55.53522872924805,15.364139556884766,27.872241973876953,67.91453552246094,55.474666595458984,28.95633316040039,0.36205798387527466,31.635000228881836,52.099517822265625,9.28933334350586,18.511306762695312,91.33201599121094,65.88011932373047,60.821876525878906,26.94047737121582,39.04600524902344,69.07855987548828,4.81157112121582,32.13056945800781,56.64345169067383,29.488262176513672,31.238574981689453,30.217390060424805,25.31186294555664,20.39225959777832,30.832277297973633,82.58375549316406,12.870405197143555,50.527156829833984,138.90261840820312,67.3430404663086,41.82799530029297,34.68620300292969,22.52782440185547,57.05494689941406,17.308439254760742,45.210262298583984,108.65303039550781,60.50880813598633,32.38478088378906,73.5406494140625,114.01000213623047,65.90591430664062,71.11298370361328,71.71208953857422,105.53105926513672,61.99827575683594,104.56575775146484,108.03033447265625,75.28181457519531,15.68780517578125,64.11296844482422,64.87317657470703,50.1832389831543,59.39442443847656
2014-01-14,16.931793212890625,60.369998931884766,4.300000190734863,19.87700080871582,4.101553440093994,56.81962585449219,15.516465187072754,28.52798080444336,68.86519622802734,57.29042053222656,29.618562698364258,0.3733723759651184,32.02049255371094,52.2204704284668,10.751333236694336,18.741989135742188,92.49390411376953,66.94110870361328,60.85193634033203,27.049510955810547,39.23857498168945,69.36263275146484,4.828000068664551,32.12629318237305,57.252288818359375,29.621728897094727,31.671232223510742,31.004302978515625,25.33877944946289,20.515949249267578,31.308717727661133,83.52030944824219,13.13674545288086,51.805213928222656,139.47129821777344,67.49980926513672,41.85698699951172,34.60784912109375,22.69566535949707,57.05494689941406,17.569135665893555,45.210262298583984,110.3551025390625,60.5742301940918,32.4061164855957,73.65055847167969,114.95999908447266,66.39714050292969,71.30377197265625,71.86431121826172,106.47856140136719,62.36105728149414,105.4131851196289,108.38822937011719,76.3701400756836,15.695046424865723,64.4067611694336,65.32624816894531,51.04294967651367,59.73796081542969
2014-01-15,17.271747589111328,61.68000030517578,4.46999979019165,19.793500900268555,4.227708339691162,59.003108978271484,15.772645950317383,28.508621215820312,69.51705932617188,57.15150451660156,30.4298095703125,0.37737947702407837,32.18809509277344,53.017398834228516,10.942000389099121,19.189159393310547,92.5018539428711,66.78827667236328,60.89699172973633,27.097225189208984,38.749107360839844,69.5374526977539,4.719714164733887,32.2374153137207,57.195648193359375,29.90829086303711,31.27703285217285,31.147377014160156,25.97924041748047,20.43700408935547,31.005535125732422,84.08078002929688,13.434417724609375,51.97099685668945,141.16920471191406,67.55683135986328,43.125606536865234,34.2944221496582,23.513004302978516,57.41512680053711,17.67115592956543,45.555702209472656,111.0859146118164,61.245304107666016,32.981876373291016,74.6058349609375,115.8499984741211,67.75350952148438,71.07123565673828,71.94439697265625,107.93936157226562,62.72383499145508,106.26055908203125,109.87714385986328,76.52440643310547,15.709524154663086,64.91417694091797,65.4039306640625,51.29741668701172,59.533023834228516
