i,j,w
0,1,0.6252401663819054
0,3,0.5652402012882226
0,4,0.7684030089092868
0,5,0.4891084913296499
0,6,0.6895785186071153
0,7,0.42052325702278803
0,8,0.5866395579739679
0,9,0.6720914311567637
0,10,0.7555691570962182
0,11,0.5715145694148087
0,12,0.5851228894552641
0,13,0.6357522014096769
0,14,0.48569718529876876
0,15,0.5337507433911783
0,16,0.6347520563538411
0,17,0.47661009924367326
0,18,0.6151352780183569
0,19,0.5419685152608489
0,20,0.4423153782456575
0,21,0.6200479202475934
0,23,0.6497257159223777
0,24,0.6394707642502976
0,25,0.6103792919979886
0,26,0.4231554010579039
0,27,0.7356429030539577
0,28,0.623232417155155
0,29,0.45718690030729137
0,30,0.5379359499095449
0,31,0.5881032245866702
0,32,0.6687662348225681
0,33,0.668878472205583
0,34,0.6943064734708004
0,35,0.682684955474132
0,36,0.6709065070214586
0,37,0.58742025554881
0,38,0.7149369654747881
0,39,0.56738881831275
0,40,0.645633209659314
0,41,0.624808858285749
0,42,0.6592647559489302
0,43,0.552515681488727
0,44,0.6881979731133866
0,45,0.5611545486859377
0,46,0.6690475375445591
0,47,0.6977646040119203
0,48,0.5638824077980836
0,49,0.609291431243695
0,50,0.7380535954385347
0,51,0.7827866222474122
0,52,0.6137488786218003
0,53,0.6496600003190608
0,54,0.7048410451091611
0,56,0.5735822351370803
0,57,0.5755306846886731
0,58,0.6633036923843187
0,59,0.6728460792661352
1,3,0.7006819775345355
1,4,0.5962302093592378
1,5,0.7092106846205606
1,6,0.7496528368307709
1,7,0.444249264986979
1,8,0.7333649450173247
1,9,0.6731932755841712
1,10,0.7549476118884235
1,11,0.5863221509695515
1,12,0.637209840578449
1,13,0.6938779466814841
1,14,0.6093738592014959
1,15,0.5795121699878175
1,16,0.7184781982821725
1,17,0.4964348466249246
1,18,0.7599430655730225
1,19,0.7249255768222428
1,20,0.7152245012461398
1,21,0.747310032256758
1,22,0.514509268123495
1,23,0.7051697942822485
1,24,0.6208944666189884
1,25,0.7742147517880112
1,26,0.6079992117018241
1,27,0.669876420207919
1,28,0.6841606924713034
1,29,0.6549157275661965
1,30,0.6218434738116667
1,31,0.6714878172015725
1,32,0.781010904144587
1,33,0.7135485821167977
1,34,0.8080379013299505
1,35,0.7318375710477105
1,36,0.8261805038325548
1,37,0.6609581951690786
1,38,0.7920425144222221
1,39,0.7465413185954347
1,40,0.7507774021632173
1,41,0.6959002299834551
