i,j,w
0,3,0.5210061104913778
0,7,0.4084443107088615
0,10,0.40038238579715185
0,30,0.4156349197678226
0,54,0.4038446379100798
1,3,0.5478825491602858
1,5,0.7347674042575658
1,7,0.510827318055968
1,8,0.7090029390572329
1,10,0.748811042267425
1,11,0.5359393566423897
1,12,0.5078852510884514
1,22,0.5293664387359671
1,45,0.45938488335448685
1,54,0.6858757739594223
1,58,0.746826888776131
3,5,0.579639280194445
3,7,0.5648652298646863
3,8,0.4696034681826745
3,9,0.4966016734522993
3,10,0.6604871342996432
3,11,0.40085413184235946
3,12,0.4175777465386159
3,22,0.4079707080539078
3,33,0.4256605113854596
3,45,0.4462384282667897
3,54,0.6727496205194158
3,58,0.596124663236239
5,6,0.41882145195840165
5,7,0.5214822651113263
5,8,0.7438335153357339
5,10,0.744468053884437
5,11,0.4551209243885516
5,12,0.5922779773032677
5,22,0.6129336434383548
5,45,0.48692354513454456
5,54,0.748130633541961
5,58,0.7321769588175525
6,54,0.46003139126771364
6,58,0.4140787581506555
7,10,0.6169999357361754
7,11,0.4642152044957567
7,12,0.4776703597253894
7,27,0.4827414134078487
7,33,0.5029230881392212
7,42,0.44512678469699496
7,45,0.4496806784834151
7,54,0.5720185869760029
7,58,0.528616899228947
8,10,0.6131930908065716
8,11,0.4426445270811327
8,22,0.45262281556924777
8,54,0.611324016677817
8,58,0.5652262439643172
9,54,0.4807269709691206
10,11,0.43356279882113713
10,12,0.5800929151457945
10,22,0.43992087443975064
10,33,0.473408716051376
10,45,0.40571120845700814
10,54,0.7540251119395619
10,58,0.7480588914588984
11,14,0.4245301225964629
11,27,0.48190965752439047
11,33,0.42209970923892015
11,58,0.4162980996580485
12,45,0.49368024073225925
12,54,0.4500739268133283
12,58,0.5347640468930605
13,42,0.4466582529212454
15,17,0.4981300410822763
18,20,0.46633858779336923
19,24,0.5097696232194345
19,35,0.4544062185177237
19,37,0.4774433420445355
19,39,0.6214162776757276
19,41,0.502062744843687
22,33,0.4047550888530454
22,45,0.4219097112057427
22,54,0.49989325613686064
22,58,0.5468167530497764
24,39,0.5994401333561624
25,47,0.40532891655224496
27,34,0.4031035481940225
27,45,0.4115101768117563
27,47,0.42112809758216985
27,58,0.40504298710515513
28,35,0.40237793944084993
30,37,0.43870066119328976
31,33,0.5186978090828411
31,37,0.4013540198402767
31,42,0.4896937173409918
31,47,0.5601528678213421
31,49,0.5277927691958632
32,34,0.7787777089318136
32,36,0.9299138452660943
32,38,0.7616144697450621
32,44,0.6013352242759636
32,45,0.4004225178200234
32,46,0.40334826653253175
32,55,0.49549112558835323
33,42,0.5502732637892686
33,47,0.4001729471651093
33,54,0.4408819437403206
34,36,0.8055043519265491
34,38,0.877734641771501
34,44,0.5098221281140884
34,46,0.4402466095498097
34,47,0.46436950385728726
34,55,0.4676578775009365
35,37,0.41454400474064124
35,40,0.5049720412827597
36,38,0.7863168645849924
36,44,0.6187651576979638
36,45,0.48419263027087606
36,46,0.4668897190214115
36,55,0.48994787761771097
37,40,0.528014503165967
38,44,0.41617008901997293
38,45,0.46305427750434397
38,46,0.6230543541442476
38,47,0.4973226611124234
38,55,0.43753675153913246
39,55,0.5454421350856771
42,47,0.5530373945734833
42,49,0.5011684840027135
42,51,0.47810282626928124
43,53,0.43715992562591127
45,46,0.4538394243929351
45,54,0.492519956142551
45,58,0.5020321253656698
47,49,0.7314199767053775
47,50,0.4105835187462085
47,51,0.5319334254563414
47,52,0.4276701843814792
47,53,0.4322034561420017
47,56,0.4605627109101885
47,59,0.4828600314837838
48,59,0.5498354077586853
49,50,0.4338033162846883
49,59,0.43712196608211107
51,53,0.4993163205261454
51,56,0.4026783075565039
54,58,0.8161420132715773
