i,j,w
0,3,0.4183474917356957
0,4,0.500973968486134
0,7,0.5199721149509514
0,9,0.5418487332407405
0,15,0.4364098382932426
0,26,0.43201256563483925
0,30,0.4021066791338612
0,31,0.5195826974509372
0,32,0.42468350435474705
0,34,0.43318177805434366
0,36,0.46768782274690046
0,42,0.43645231603299484
0,44,0.42023524514681615
0,45,0.44632848403545156
0,46,0.40870526013316905
0,47,0.41614519897827157
0,50,0.40662669848662497
1,2,0.4089179488129061
1,3,0.5628702825828563
1,4,0.5900525612624842
1,5,0.5659625831520448
1,6,0.5642243993460534
1,7,0.44510220417550894
1,8,0.698813743755342
1,9,0.4925960589823145
1,10,0.5559150500422646
1,11,0.5000948728332677
1,12,0.5042327000954328
1,14,0.5272843073171908
1,17,0.473597605611092
1,18,0.4402126453953478
1,19,0.4500956247435498
1,23,0.4119295233754439
1,24,0.42563203919322595
1,25,0.4801946963087113
1,26,0.5493042690678884
1,27,0.49564549281386183
1,31,0.4290451156697764
1,32,0.5400135400899299
1,34,0.6028564276520708
1,36,0.6187972370995319
1,38,0.5471590968835987
1,39,0.44068810983156875
1,40,0.5047429896023291
1,42,0.561439389773408
1,44,0.5396397787547257
1,45,0.6250372349194911
1,46,0.6016187107121992
1,47,0.45632977070454206
1,48,0.43405474137061434
1,50,0.5810292393550728
1,51,0.5321694021541125
1,52,0.43909190362045997
1,54,0.4928165914864983
1,56,0.5507140216457467
1,57,0.658652556891204
1,58,0.5464656020352978
2,12,0.4716898573784814
2,20,0.4121960777730336
2,27,0.41120396152885746
3,4,0.5137135417790112
3,5,0.5493184465389206
3,6,0.558324944596274
3,7,0.6684228412249177
3,8,0.5122307299245628
3,9,0.7495629113482292
3,10,0.4885618831812104
3,11,0.504614777515094
3,12,0.44623995062730865
3,15,0.45908779254532134
3,18,0.5375644661104448
3,19,0.41326419338535253
3,21,0.44249597674431546
3,24,0.5965756942185434
3,26,0.6348595479511756
3,30,0.5313523157899215
3,31,0.6465080912835636
3,32,0.4194310715034938
3,33,0.4133020048381165
3,34,0.4429851132124619
3,35,0.5302448504798705
3,36,0.5139831671936752
3,37,0.4219310404949471
3,38,0.43983599945165497
