run_dir,tag,kernel,model,selected_tau,train_end,val_end,best_lambda,best_C,best_epsilon,val_mse,test_mse,test_mae,test_r2,load_graphs_sec,gram_sec,fit_sec,total_sec,n_train,n_val,n_test
results_final/fixed/internal_tau/wl/krr/run_0001,internal_tau,wl,krr,tau_0.45,2019-12-31,2020-12-31,0.0003,,,0.006465919291839862,0.0014789844721856851,0.02937450333946581,0.07690102181167613,4.486674547195435,1.9329962730407715,0.759488582611084,57.52254676818848,1450,253,984
results_final/fixed/internal_tau/wl/svr/run_0001,internal_tau,wl,svr,tau_0.45,2019-12-31,2020-12-31,,10.0,0.05,0.00616214204076459,0.0015682773758137329,0.03156471371407722,0.021169410257494192,4.425155878067017,1.913743019104004,0.27443408966064453,52.97485828399658,1450,253,984
results_final/fixed/internal_tau/sp/krr/run_0001,internal_tau,sp,krr,tau_0.55,2019-12-31,2020-12-31,1e-06,,,0.0069009531318193216,0.001746715864000037,0.0322163559942567,-0.09020186456787571,3.9527013301849365,20.667572498321533,0.9762225151062012,317.0828504562378,1450,253,984
results_final/fixed/internal_tau/sp/svr/run_0001,internal_tau,sp,svr,tau_0.50,2019-12-31,2020-12-31,,10.0,0.05,0.006647893193986131,0.0016744131241693925,0.032714640346004416,-0.04507455828909501,3.9816083908081055,27.0425808429718,1.0551762580871582,313.99469447135925,1450,253,984
