i,j,w
0,1,0.4653352190169088
0,5,0.4124909638487759
0,7,0.4670073987716735
0,8,0.46551652858698744
0,9,0.4575695811549811
0,10,0.43073766049431056
0,22,0.4585876692863217
0,27,0.4727559637102418
1,2,0.7067610669672952
1,3,0.6482808434038517
1,4,0.6495043553444846
1,5,0.6326126707004063
1,7,0.4982367188813145
1,8,0.6672794221715658
1,9,0.5871968964996002
1,10,0.7301883864764808
1,11,0.6062651534060017
1,12,0.6220596373028318
1,13,0.4065813783205073
1,14,0.4953864060048336
1,20,0.45297815019203413
1,22,0.5387424481994796
1,27,0.6767313834490317
1,54,0.4024517117924607
1,58,0.5060216637759581
2,3,0.6003033136577248
2,4,0.5926794029226623
2,5,0.4819894791214291
2,7,0.48040442255972327
2,8,0.6340711191762408
2,9,0.6400062875675727
2,10,0.6249259971836431
2,11,0.659565900623291
2,14,0.4110173625239924
2,22,0.5005045288205097
2,27,0.6749617380204493
2,50,0.43276972837307454
2,54,0.4538635808768796
2,58,0.5395207828168886
3,4,0.46844728802233526
3,5,0.5550564761362593
3,7,0.4983294630915177
3,8,0.590679844719763
3,9,0.5336638104118487
3,10,0.5292955137724251
3,11,0.45745630239633317
3,14,0.46304280472405374
3,22,0.4006601041426119
3,27,0.41123180638777956
3,33,0.4564167524315325
3,58,0.4679703983323136
4,5,0.5829707442915696
4,7,0.4561833691793134
4,8,0.5073961329819715
4,9,0.5951587658628552
4,10,0.56604301796346
4,11,0.7209531913143474
4,12,0.41178315238029484
4,14,0.458262579623287
4,27,0.547804669307851
4,50,0.40952132734565877
5,6,0.4055915314262634
5,7,0.4177701814018187
5,8,0.6546752137143271
5,9,0.5614630968764831
5,10,0.4828210951463696
5,11,0.4525970898760659
5,20,0.42661449903240567
5,22,0.49238677275866605
5,27,0.43354200005185756
5,54,0.40314219011717006
5,58,0.4794681036311507
6,40,0.40486698629197077
6,47,0.466791032163211
6,54,0.42147270487458505
7,8,0.5768985672243764
7,9,0.5834579831744588
7,11,0.5090059107710381
7,14,0.44991005965795944
7,18,0.4472777929809839
7,46,0.4235545989832688
7,54,0.47685379958882723
7,56,0.4104382046651943
8,9,0.6263436353873691
8,10,0.6026330133655761
8,11,0.5238469367142722
8,14,0.4455865368941985
