i,j,w
0,3,0.41118647104872896
0,4,0.5590982079843407
0,5,0.46861727927663127
0,6,0.5423106238342007
0,7,0.4348506275974974
0,10,0.4432687607715527
0,12,0.6385408400624049
0,25,0.4469227517303942
0,28,0.5006021812716042
0,32,0.5596014881660544
0,34,0.4410426171828829
0,36,0.5522901415514201
0,38,0.44660096483092976
0,41,0.4287406193621271
0,44,0.5468675965750912
0,46,0.5394816929806084
0,51,0.4434333837299664
0,54,0.49915486314483054
0,59,0.41103419726250334
1,3,0.47764296875225243
1,5,0.5948960377658824
1,7,0.4455393447272227
1,8,0.4644974306428435
1,9,0.4706689119172086
1,12,0.5212746416048222
1,15,0.4843489071136483
1,16,0.5665668227584206
1,17,0.4933176385209945
1,18,0.47558658279853006
1,20,0.46894665623588144
1,21,0.4941453616501463
1,25,0.5280109335974565
1,34,0.4364854632567552
1,36,0.46989219512657143
1,41,0.45004072093970315
1,44,0.42097917413279007
1,46,0.46051383122287404
1,50,0.5147459958308281
1,54,0.5057459997553346
1,58,0.40794596757066437
3,5,0.6014531296565488
3,6,0.4192809228607721
3,7,0.8655320920790577
3,9,0.7819628139967308
3,10,0.6066181127856742
3,12,0.4464358562490985
3,14,0.42605890302309235
3,15,0.5644374737305649
3,17,0.4462728515506077
3,18,0.45065333412738956
3,20,0.48331930868070144
3,21,0.4457792292900209
3,24,0.4284169421931722
3,25,0.6499065161150521
3,31,0.5739377150381793
3,32,0.40201579758304884
3,33,0.47174277259803143
3,34,0.542225272725117
3,35,0.488105149974234
3,36,0.4488597555347894
3,37,0.49114685692336557
3,38,0.4528996018657586
3,40,0.49430005833710067
3,41,0.45033289954828
3,42,0.5502804859035051
3,43,0.4745711319294665
3,45,0.49007308359608537
3,46,0.4408297453549198
3,50,0.4177788303317172
3,51,0.4415589328448251
3,53,0.42815228810938927
3,54,0.6729814534732738
3,58,0.5181698557519921
4,5,0.4216227762335303
4,6,0.4570776823129892
4,11,0.6724455655761408
4,12,0.4695390482487914
4,21,0.41287802420173403
4,27,0.5344690371991336
4,28,0.40723041833960305
4,31,0.41514692320632585
4,32,0.5865229511860169
4,34,0.5330106382336044
