i,j,w
0,2,0.42450219016429097
0,7,0.5457086182085501
0,9,0.422133783473322
0,10,0.4928736032461127
0,32,0.40720246223727924
0,34,0.5789229916060951
0,36,0.46879984342069353
0,38,0.5012191081746163
0,45,0.5217655824394662
0,46,0.5482484483906297
0,47,0.4362310808274558
0,51,0.45996585753935737
0,54,0.44971867111427427
0,56,0.5178265593544162
1,5,0.41119561289019596
1,8,0.4285662966149992
1,10,0.5270488037801527
1,58,0.4289881717980531
2,4,0.5093930218999123
2,10,0.4297136034930392
2,11,0.5087781854156265
2,30,0.47701413485682165
2,34,0.4335813638986965
2,36,0.4712799097664114
2,38,0.4995011643969099
2,46,0.46894890034714964
3,10,0.44835460686115514
4,6,0.437532132841644
4,12,0.4770252877775722
4,27,0.46670070025077626
4,32,0.6134783990068583
4,34,0.45595390414000464
4,36,0.5733979646125814
4,38,0.4765440681002337
4,46,0.5033273905515315
4,47,0.5126426103680295
4,51,0.4572199469478363
4,56,0.4652631247627534
4,59,0.4456706108004542
5,10,0.4602205376191789
5,54,0.4910905906926678
5,58,0.4864242225439065
7,10,0.5881916255483535
7,13,0.5008571347715012
7,34,0.515431200120392
7,38,0.4172143694593982
7,45,0.4632580280661423
7,51,0.4238364946324406
7,54,0.4136423315421289
8,10,0.4474968078111168
8,54,0.47778819792520455
8,58,0.4950888266673557
9,41,0.43591780800992475
10,11,0.4518082126082606
10,13,0.41517844444030666
10,18,0.4208487814323743
10,22,0.45283913875491033
10,25,0.4662597751368317
10,30,0.4201959214556463
10,34,0.4895308955960962
10,38,0.5100373024789419
10,45,0.574774633879973
10,46,0.4483064635890774
10,51,0.598029971506294
10,52,0.48328023504927314
10,54,0.7366005675724432
10,58,0.6055570984700152
11,22,0.4608348049597399
11,27,0.48254689840062065
11,34,0.47289900671244745
11,38,0.44917108371018943
11,45,0.4984829078177541
11,46,0.4073320276180874
11,52,0.449686884025042
11,56,0.40235120415580183
12,47,0.4277871254161675
12,51,0.40027908903394394
13,27,0.4554044631796732
13,32,0.45307424861400275
13,34,0.5564133894026942
13,36,0.4388958312907439
13,38,0.5116931452160491
13,45,0.41433983669036134
13,46,0.40296477598870883
13,47,0.47409479990662373
13,51,0.4666564603319369
13,56,0.43533400166420566
16,29,0.48589385144481556
17,29,0.4213165487497402
18,57,0.4130094465532044
19,21,0.4280633530128957
19,24,0.7023965250075738
19,25,0.41036889911014873
19,37,0.45641075676220955
19,39,0.7386577759853468
19,42,0.40122062549198517
19,55,0.6222475237715132
21,24,0.4984599006023837
21,25,0.4611454543558606
22,50,0.41141299492217775
24,39,0.6101013274652961
24,48,0.5069145830895357
24,55,0.5932973946080482
24,59,0.43273921624446543
25,45,0.4173778056134047
25,52,0.40856732712196303
26,35,0.4880329877601297
27,32,0.5238643258472563
27,34,0.5446070840170556
27,36,0.46843687363182657
27,38,0.4865928499534438
27,45,0.4910699913730967
27,46,0.499844145215585
27,47,0.46508883140108537
27,51,0.4849573901920885
27,52,0.4795809181094571
27,56,0.5179567255760223
28,39,0.4512381413148676
30,31,0.4467394326988928
30,33,0.5304356553414302
30,34,0.4350680915799908
30,36,0.4546345853906669
30,47,0.4172077739200087
30,50,0.42695626238209755
30,51,0.4163746084851324
30,57,0.4391445860288134
31,33,0.4184786704381622
31,40,0.6004822275267077
31,43,0.43375420074954046
32,34,0.7237296189605481
32,36,0.8726264434879862
32,38,0.600793866079648
32,44,0.5204226242740976
32,45,0.4422751188075528
32,46,0.6906511254744327
32,47,0.7143554517286429
32,48,0.5321384511311056
32,49,0.49128506811166117
32,51,0.4399871926936325
32,55,0.5944350259416153
32,56,0.5900548486487937
32,57,0.41814545735106057
32,59,0.6126925267740966
34,36,0.6952034180581144
34,38,0.6930168932652063
34,44,0.5235387402984759
34,45,0.6796202791299317
34,46,0.6885954494177037
34,47,0.6072836857958432
34,48,0.44129762620719903
34,49,0.42221847438079757
34,51,0.5361161960286981
34,52,0.4498266994350069
34,56,0.5286775584117802
34,57,0.5314092292976791
34,59,0.4587238535847604
35,42,0.5036199470167686
35,43,0.41421744764429336
36,38,0.6259702919656975
36,44,0.45735948950485883
36,45,0.5309954128902163
36,46,0.6462196464990629
36,47,0.6815944058671585
36,48,0.4078802091782651
36,49,0.5154305028517242
36,51,0.45390360304051014
36,56,0.5910691634932186
36,57,0.40682286010513713
36,59,0.522477610073202
37,39,0.43051260708341826
38,44,0.5061777537190181
38,45,0.5214580279275823
38,46,0.6008942666918252
38,47,0.6238614273586387
38,48,0.4237574399484147
38,49,0.4622900297699374
38,51,0.5639732469749219
38,52,0.40712590112358504
38,56,0.6254615443897666
38,57,0.4416213859719204
39,42,0.4082863690603477
39,55,0.585392849025328
40,43,0.5138949270557258
42,54,0.4525459375157292
44,46,0.5399396200279706
44,47,0.4128313263165202
45,46,0.5633213592699928
45,47,0.5329632706129049
45,51,0.5237267813588512
45,52,0.49465265116366236
45,54,0.5432646981594023
45,56,0.49317283999087325
45,57,0.5135355389740317
45,58,0.5286782450612708
46,47,0.5851956579283005
46,48,0.4172141809757005
46,50,0.43813451820121013
46,51,0.6005988570213546
46,52,0.46059780711331716
46,56,0.5573808620552071
46,59,0.5676096979373746
47,48,0.4195715924162215
47,49,0.5782521004480712
47,50,0.4009070244623062
47,51,0.4984980643266984
47,55,0.4632769088551356
47,56,0.6964160543576225
47,57,0.5496403462280959
47,59,0.5464249901544029
48,49,0.44768253311728917
48,56,0.4066380424453508
48,59,0.7263884996519571
49,56,0.43160174445439364
49,57,0.41628764487568526
49,59,0.5179134068632156
50,51,0.5190290190095468
51,52,0.48215213317752625
51,54,0.4016128002184279
51,56,0.5099395873641009
51,57,0.4487321045224821
54,58,0.8133272199399445
55,59,0.4272941467677815
56,57,0.4464629197427207
56,59,0.4647835036237938
