i,j,w
0,7,0.48604603907202687
1,3,0.41013126827737606
1,5,0.44373010043216127
1,8,0.5233553261705252
1,10,0.4853971122434933
2,3,0.571390640543555
2,4,0.6050478673928426
2,5,0.47858144090345467
2,9,0.47613129925772535
2,10,0.4399459609668206
2,11,0.7125520073605532
2,13,0.4905278408028472
2,22,0.5140592733934072
2,27,0.4376051823966174
2,47,0.4094104996527175
3,4,0.5791132788352027
3,5,0.4898896082219682
3,7,0.441127459966487
3,8,0.5100383681870714
3,9,0.7817686310859312
3,10,0.7735548706190929
3,11,0.6122482091655954
3,12,0.42238202128813773
3,22,0.48006131257070395
3,47,0.49882560523365127
4,5,0.5697340551904284
4,8,0.4843549086564921
4,9,0.4356828177719306
4,10,0.6319043318685416
4,11,0.6877944986837644
4,12,0.4446059656188943
4,13,0.6490126382270341
4,16,0.5533824070509418
4,22,0.5440764710538819
4,27,0.5061347195675969
4,47,0.428441259329278
5,8,0.6676721444086041
5,10,0.6194291644777724
5,11,0.4098908352191497
5,13,0.40212518791203833
5,22,0.5186030213781146
5,47,0.4217744306779459
5,54,0.40760697797353734
5,58,0.5276451471245739
6,7,0.5305908115934955
6,8,0.4009357997902742
6,19,0.42101265806459626
6,25,0.45279392319304124
6,42,0.5767054729920398
6,56,0.44629335400823233
7,10,0.558835848870361
7,25,0.40992493523131684
8,10,0.6695687936105411
8,12,0.44305129180121483
8,13,0.4868521084817629
8,18,0.5237985111470027
8,20,0.46072665022788234
8,22,0.4078721359514001
8,27,0.41959857480898
8,42,0.487257185083067
8,45,0.4739489895991863
8,47,0.45117247177930814
8,50,0.42651481807410624
8,58,0.4840710353450627
9,10,0.5358799548288893
9,11,0.48040367244729554
9,22,0.40917484568637
9,47,0.44832858893797384
10,11,0.48757785770006684
10,12,0.6232990714156246
10,16,0.42604827849219595
10,22,0.47306620123298365
10,42,0.41915529805477336
10,47,0.41099772773671595
10,58,0.5048805359573423
11,12,0.5253775492559707
11,13,0.4151735850427286
11,16,0.5067825191138651
11,22,0.5997113702539367
12,16,0.48543899618979774
12,58,0.4229889757440169
13,22,0.41482574328655625
13,27,0.6321526387544679
14,27,0.44181811464361237
15,31,0.41640195155534215
15,33,0.4977488200028237
15,35,0.41807267071543075
18,20,0.8728409474168438
18,32,0.4883682711500663
18,34,0.5571177014045533
18,36,0.4536493846563071
18,42,0.4656994893892553
18,45,0.44899048182153456
18,46,0.47882897313047085
18,47,0.43818587348749
18,51,0.5014461636446825
18,54,0.43233101344281505
18,56,0.5305863807860387
18,58,0.42518777609728226
19,24,0.5695982423957913
19,25,0.41390476473049986
19,26,0.44406404602518423
19,31,0.4421914443717539
19,33,0.4105446066475234
19,37,0.40425252670737677
19,39,0.549858902090235
19,40,0.419210056646999
19,41,0.5884801409174716
19,46,0.4686752016262754
19,55,0.41429402871092613
19,56,0.40616571075757263
20,23,0.42617794708240647
20,32,0.48534963945687026
20,34,0.6093896264364138
20,36,0.4294903543480729
20,38,0.43166308670815384
20,42,0.4721037280089579
20,46,0.4345020602645772
20,47,0.4470425638038314
20,51,0.42666098463344804
20,54,0.48334654153401174
20,55,0.42469530318456816
20,56,0.537017228376427
20,58,0.43767293400221136
21,24,0.40634789804555566
22,50,0.5496619860882346
22,53,0.4051664575377819
23,25,0.44814604337864106
23,34,0.40555911473984596
24,35,0.49982273847332853
24,37,0.41238911331816563
24,41,0.47379176194624484
24,53,0.41239184368214776
25,43,0.4005733066286081
27,42,0.4071170115402018
28,41,0.41661251993505577
30,54,0.46337702067010816
31,33,0.5667514792858942
32,34,0.6819562353993491
32,35,0.4550045100177359
32,36,0.6407772676019912
32,38,0.5143152577500606
32,42,0.42590439593449053
32,44,0.7020886927084611
32,45,0.5180756022759038
32,46,0.4720955434039559
32,51,0.6678292929978032
32,55,0.44016772582063807
32,56,0.44180655466345786
33,35,0.44956669292133317
33,55,0.4336838184769187
34,36,0.5686150698627012
34,38,0.658222471939332
34,44,0.48918316875881385
34,46,0.4419272199811335
34,47,0.4957107296529313
34,51,0.45680766069212825
34,56,0.4316970817890154
35,36,0.40045558158015265
35,40,0.5551823745212258
35,44,0.43374641750768306
35,46,0.45910268157400863
35,51,0.4658740452852692
35,56,0.48059498747101687
36,42,0.43098049407727074
36,44,0.5329035284789776
36,45,0.4267259738877682
36,46,0.548617149841669
36,47,0.4411089589785523
36,51,0.5085064221144051
36,56,0.4625042151377146
37,46,0.5074729324488512
37,47,0.40397014595556885
37,56,0.42034234999947756
40,46,0.49938646099636713
40,52,0.4634224944495898
41,42,0.4776250879514964
41,55,0.4637515439738186
42,46,0.40660304888462223
42,47,0.46429077381561606
42,50,0.5149470871080177
42,56,0.5632161677758003
44,51,0.5680781877121517
45,46,0.45957937171262503
45,51,0.4233671905289428
46,47,0.4267911977393199
46,51,0.5058448906287409
46,52,0.4671476394890172
46,54,0.443877682211406
46,56,0.5626454585881407
46,58,0.46594760245897426
47,50,0.5583334792629979
47,54,0.4514684528404494
48,59,0.7182587669728343
54,58,0.7886998925046306
56,58,0.41989404649142487
