tag,kernel,model,best_params_str,val_mse,test_mse,test_mae,test_r2,load_graphs_sec,gram_sec,fit_sec,total_sec,n_train,n_val,n_test,run_dir
tau_0.30,baseline,mean,,0.007332171171876251,0.0016088045859661332,0.030679185093114323,-0.004125436256313231,,,,0.010253667831420898,1450,253,984,results/fixed/tau_0.30/baseline/mean/run_0001
tau_0.30,baseline,ridge,lambda=10.0,0.007717887522055815,0.0017211151665996332,0.03432478669523118,-0.07422339082367246,,,0.0004775524139404297,0.3778841495513916,1450,253,984,results/fixed/tau_0.30/baseline/ridge/run_0001
tau_0.30,sp,krr,lambda=1.0,0.007205701613570795,0.001610630116074583,0.031090695500856684,-0.005264829587570574,5.903283596038818,49.31909513473511,0.7411632537841797,56.88274049758911,1450,253,984,results/fixed/tau_0.30/sp/krr/run_0001
tau_0.30,sp,svr,"C=100.0, eps=0.05",0.006777696223681487,0.001602471816810193,0.03192526847835018,-0.00017287753856165544,6.132896184921265,49.872244119644165,0.8669073581695557,57.79579472541809,1450,253,984,results/fixed/tau_0.30/sp/svr/run_0001
tau_0.30,wl,krr,lambda=1e-06,0.006802691713796459,0.001571511396794388,0.030562594014195574,0.019150877208432338,6.068838119506836,2.6490042209625244,0.5110397338867188,10.195641994476318,1450,253,984,results/fixed/tau_0.30/wl/krr/run_0001
tau_0.30,wl,svr,"C=10.0, eps=0.01",0.0063157205011531835,0.0015167015678847445,0.03002751930019493,0.05336009307288048,5.9403767585754395,2.5249571800231934,0.28200721740722656,9.577475547790527,1450,253,984,results/fixed/tau_0.30/wl/svr/run_0001
