i,j,w
0,1,0.3546842879517841
0,4,0.4552274399578905
0,5,0.28897399337346463
0,6,0.3583974953461987
0,7,0.33016483130294105
0,8,0.4011354296505548
0,10,0.3025603269964253
0,13,0.4137351251622632
0,16,0.2884253858438029
0,22,0.34738035060338324
0,27,0.4620915080655356
0,31,0.4125710799697339
0,33,0.31487287476783454
0,34,0.31417616518864716
0,35,0.25983241898758425
0,36,0.32083461023876464
0,37,0.4287284111935243
0,38,0.3142163545319891
0,40,0.38478585298516704
0,42,0.28606108850196615
0,43,0.44242751626689947
0,44,0.2768212938442202
0,50,0.264544946230087
0,51,0.3092000556947377
0,52,0.2591894457073889
0,54,0.26320064113865155
0,57,0.28667360808308995
0,58,0.36243490945929047
1,3,0.48199012504422895
1,4,0.40686845352137363
1,5,0.5339867567491468
1,6,0.46120588269112683
1,7,0.7031213501435046
1,8,0.7236862526345686
1,10,0.6678057927616042
1,11,0.30987027330334377
1,12,0.4306040142973277
1,13,0.4073018598762049
1,14,0.25515180535430265
1,15,0.58691947047695
1,16,0.29715100616269424
1,17,0.3784388639239602
1,18,0.5284221029523408
1,19,0.2521917846668195
1,20,0.40540718535943354
1,21,0.2537227515571751
1,22,0.2537927932373927
1,23,0.38354216971614336
1,24,0.29625465154956687
1,25,0.5424197159740874
1,26,0.3092710495660403
1,27,0.6093494483986579
1,30,0.2862778953860769
1,31,0.6082934549438599
1,32,0.4426685965026645
1,33,0.37108880021733753
1,34,0.5166734875983998
1,35,0.44730816504234333
1,36,0.4888277592629067
1,37,0.4736454957968071
1,38,0.486699731725782
1,40,0.33748048151422605
1,41,0.2983012210594487
1,42,0.6720031959820787
1,43,0.37776632733694776
1,44,0.493142660792983
1,45,0.4419422804269089
1,46,0.6415891253566091
1,47,0.28438721378754456
1,48,0.34638221983019524
1,50,0.5342080920950562
1,51,0.6103434581734994
1,52,0.2950479914382164
1,53,0.38293582709402596
1,54,0.7316245250091749
1,57,0.44778255146037976
1,58,0.6903999578932929
1,59,0.3234031775819363
2,7,0.47070555173947176
2,10,0.43073366941147734
2,13,0.3512893759983813
2,22,0.2564838162804311
2,25,0.38498484758731993
2,56,0.2893677321377139
2,57,0.25403461110676606
2,59,0.27498398669818874
3,5,0.4229436515569394
3,7,0.5076326758987026
3,9,0.2844879408505935
3,10,0.44421759523374454
3,15,0.32696801782507673
3,18,0.4073908901918366
3,20,0.2880887986440543
3,22,0.27695399337222976
3,24,0.33078182786929233
3,25,0.36720764390340305
3,31,0.2995072510407044
3,33,0.28717476561456334
3,34,0.269186909531397
3,41,0.331930652086829
3,42,0.3624894106629968
