date,y,num_edges
2014-03-31,-0.010097832591379915,677
2014-04-01,-0.014308178648007534,675
2014-04-02,-0.012845900970653176,684
2014-04-03,-0.010416749544332417,673
2014-04-04,0.007185591778903363,712
2014-04-07,0.00697534390162478,750
2014-04-08,0.004371916767882648,739
2014-04-09,-0.010198546653574263,733
2014-04-10,0.017201428720545975,824
2014-04-11,0.04087519482747916,835
2014-04-14,0.033248567370153866,854
2014-04-15,0.022194847969932985,857
2014-04-16,0.004013862627321049,886
2014-04-17,0.007457145630721799,890
2014-04-21,0.006438641217964092,894
2014-04-22,-0.008142362003895415,846
2014-04-23,0.005729125946744234,848
2014-04-24,0.009093540115390191,819
2014-04-25,0.028433996696255827,803
2014-04-28,0.036977016281947404,756
2014-04-29,0.026959653470890205,768
2014-04-30,0.02790459883445065,611
2014-05-01,0.024187041421428794,617
2014-05-02,0.02723050426757825,624
2014-05-05,0.023562206366846746,595
2014-05-06,0.038090891781102046,597
2014-05-07,0.04115806488646667,586
2014-05-08,0.04742725265115875,551
2014-05-09,0.044660357462453074,561
2014-05-12,0.035163401252740194,595
2014-05-13,0.032170206325305206,597
2014-05-14,0.029710351782890287,597
2014-05-15,0.03965864884674848,583
2014-05-16,0.03509747036329437,582
2014-05-19,0.033170119818904324,604
2014-05-20,0.04659431770037235,602
2014-05-21,0.03803787870397163,631
2014-05-22,0.0329516538709717,644
2014-05-23,0.02758291848934281,651
2014-05-27,0.015037844215877144,657
2014-05-28,0.023385167802366776,652
2014-05-29,0.016311389022108755,591
2014-05-30,0.018175987894510613,605
2014-06-02,0.018293724674626536,610
2014-06-03,0.028940212525219344,633
2014-06-04,0.02807146609280626,640
2014-06-05,0.026805874744246325,642
2014-06-06,0.016563459718450496,648
2014-06-09,0.007860768939403226,602
2014-06-10,0.011346016246198007,595
2014-06-11,0.00937539564684696,594
2014-06-12,0.019909292912969844,590
2014-06-13,0.02515073407310621,579
2014-06-16,0.021465384943657167,569
2014-06-17,0.019838719550233128,590
2014-06-18,0.0014671332426660234,597
2014-06-19,0.009836890379708597,627
2014-06-20,0.00863755801451593,599
2014-06-23,0.012204404060640734,611
2014-06-24,0.01756473772605449,622
2014-06-25,0.011999918842132024,606
2014-06-26,0.006575469389246413,604
2014-06-27,0.004652926430297826,601
2014-06-30,0.0004250204254513212,605
2014-07-01,-0.004537365469565738,549
2014-07-02,-0.02471967969422688,517
2014-07-03,-0.0327846031115743,538
2014-07-07,-0.01999813733419524,516
2014-07-08,-0.01773001035248098,354
2014-07-09,-0.02137056530506297,304
2014-07-10,-0.021437570293503884,307
2014-07-11,-0.01282696321652001,304
2014-07-14,-0.016445196510560908,294
2014-07-15,-0.016218207407830847,290
2014-07-16,-0.012654440941099337,288
2014-07-17,0.0032346174328941107,310
2014-07-18,-0.0044922867589261145,324
2014-07-21,0.006193199021085504,346
2014-07-22,0.007806735982561233,341
2014-07-23,0.010734483210200103,335
2014-07-24,0.013213882664938998,323
2014-07-25,0.019799566339805015,328
2014-07-28,0.024247894386124912,334
2014-07-29,0.028681879071305687,332
2014-07-30,0.025563323256089107,343
