i,j,w
0,1,0.6338976586412312
0,3,0.5907066116709766
0,4,0.7071333841199946
0,5,0.5283667305941955
0,6,0.5188166902656908
0,7,0.6394657416652795
0,9,0.5365292492706354
0,10,0.629860071045374
0,26,0.5633412169653877
0,27,0.6035780551866684
0,51,0.5394449993021231
0,54,0.7079914629078636
0,58,0.6365690493486493
1,2,0.6015291456419417
1,3,0.726039696683152
1,4,0.7401954804214511
1,5,0.7881096396285707
1,6,0.5975818224881985
1,7,0.8173800754132763
1,8,0.6869335027316859
1,9,0.6745159090938337
1,10,0.783324924102728
1,11,0.5908439781682389
1,22,0.6166740228744063
1,26,0.5852074825381699
1,27,0.711173393841652
1,54,0.7526267805690234
1,58,0.7426999487710244
2,3,0.5384620233584254
2,5,0.520160511795019
2,7,0.506383820382466
2,11,0.5991301423667712
3,4,0.6283866904163748
3,5,0.628290877843272
3,7,0.7240089029325154
3,8,0.5534149975842932
3,9,0.7453060668386061
3,10,0.6919782459607655
3,11,0.5253945435464099
3,22,0.590019819519622
3,27,0.556799189267836
3,54,0.7291478385497859
3,58,0.6894355870748304
4,5,0.5851113614420591
4,7,0.6803386665537706
4,8,0.5441158578183161
4,9,0.6156365082318254
4,10,0.7343790856476939
4,11,0.5077041860935895
4,26,0.5456652356471953
4,27,0.6523643190127073
4,54,0.6685107292087956
4,58,0.592454423258212
5,6,0.5758394922286674
5,7,0.6576462567451259
5,8,0.6520944216775252
5,9,0.6318739486120726
5,10,0.7335146996307065
5,11,0.5811399871337827
5,12,0.500242578634788
5,27,0.747364785210649
5,54,0.6806095072226435
5,58,0.6410121492167933
6,7,0.5371637358784757
6,8,0.6858389341526817
6,9,0.5191330006324086
6,10,0.6388918344596213
6,13,0.516919109442497
6,26,0.5873378710035378
6,27,0.5048418811870143
6,31,0.5717291678639457
6,42,0.5965946799730821
6,45,0.5260627188207688
6,51,0.5972340341970925
6,53,0.5827128418210916
6,54,0.6222722088655449
6,58,0.5893286763471036
7,8,0.587755051801487
7,9,0.7676680011890603
7,10,0.7548175276462631
7,11,0.6353936157309599
7,22,0.6499478546500325
7,26,0.6176383345142066
7,27,0.6800948720958699
7,54,0.7061632273008833
7,58,0.7284850130328164
8,9,0.5911031858006388
8,10,0.6681264192561035
8,15,0.5407769226786311
8,26,0.5969138467860392
8,27,0.6432382782336622
8,51,0.5306205971457877
8,53,0.6072868461902244
8,54,0.6342031028134845
8,58,0.6111553461294807
9,10,0.6522879711253808
9,11,0.5952361888282022
9,22,0.602759885875075
9,27,0.6214727468631848
9,54,0.5815336367707533
9,58,0.6000733560367466
10,15,0.515507234766491
10,22,0.508017810178936
10,26,0.5319535195106111
10,27,0.7210527037875464
10,54,0.757164480595141
10,58,0.6599215842402849
11,27,0.6810098985978299
11,54,0.5154031728637603
12,33,0.5452486650867505
13,26,0.5647580263085776
13,57,0.5563714011343084
15,53,0.5215352163635417
16,29,0.707540385683397
17,28,0.5369279242100442
18,20,0.7692204472975811
19,24,0.5440137072039621
19,39,0.7381726919749528
20,46,0.5114066537101483
20,51,0.5159086339400895
22,27,0.5059909331095216
22,54,0.5312919472110458
22,58,0.5732727527571962
24,28,0.5115245708521031
24,39,0.5383255273747044
26,27,0.510130362561482
26,51,0.5832125789746286
26,54,0.5430712390749437
26,58,0.5486126628216226
27,54,0.5899151486826352
27,58,0.5744277058547799
28,37,0.5678131981171227
30,43,0.5054305113201095
31,33,0.5873686925150282
31,42,0.516089469779184
32,34,0.7433991316358014
32,36,0.9273827935335214
32,38,0.8035948179581334
32,44,0.7283212620498927
32,46,0.6247603572471886
33,37,0.5564129427335393
34,36,0.7407944309074831
34,38,0.7184379653841686
34,44,0.5157071926633695
34,46,0.5297574637827476
36,38,0.7732545853550954
36,44,0.7243457300087615
36,46,0.6220484682941982
37,40,0.636388880918793
38,44,0.5661114484346949
38,46,0.55039025647145
42,54,0.5247137892643235
43,45,0.5306875581125386
44,46,0.5260549920854181
45,57,0.5870340804913866
46,51,0.5260408596459755
46,52,0.5448251190047579
48,59,0.7148179559667829
50,59,0.5017680653088318
51,52,0.5933789289105424
51,53,0.6050497771203975
51,54,0.5947482011858153
51,58,0.5819064162101885
52,56,0.5627394908503738
53,54,0.503417332468263
54,58,0.8773282688957803
56,57,0.7086945860213414
