i,j,w
0,1,0.5177382274419291
0,2,0.5041388402736829
0,3,0.479201013637826
0,4,0.4862368974826366
0,5,0.5306511686016507
0,6,0.3438949004242731
0,7,0.5938868930383507
0,8,0.49973584336651244
0,9,0.39498021613708517
0,10,0.587035454611262
0,11,0.5053206015087253
0,12,0.34019419915015353
0,13,0.503037279022195
0,14,0.4737087881197467
0,15,0.33789377892617717
0,16,0.5126195672948597
0,18,0.3561444340160556
0,20,0.306587823257745
0,22,0.5140703901594502
0,23,0.33449567535829705
0,25,0.3575792966719591
0,27,0.4539690474685902
0,32,0.3170664257731664
0,34,0.42991356854437873
0,38,0.3492303415917752
0,45,0.3455176162569172
0,46,0.30553369998281893
0,47,0.3849673724523597
0,50,0.3703403668519991
0,51,0.3564501098440203
0,52,0.3268444083037142
0,54,0.35498540408553086
1,2,0.34971611448238243
1,3,0.5425227631789821
1,4,0.4119591601999398
1,5,0.5065000148406084
1,6,0.4007549079515893
1,8,0.4880330915320266
1,9,0.41888757139975386
1,10,0.46611269762653157
1,11,0.3966367172631766
1,12,0.34251252147499334
1,13,0.36472620228136615
1,14,0.4644200090264213
1,16,0.5171693158252101
1,18,0.3060433737780444
1,22,0.45622855603138046
1,27,0.41091983056886516
1,32,0.3367051955845332
1,34,0.38544739892848245
1,36,0.38808477572334893
1,38,0.32045410969617455
1,45,0.3781629572338914
1,46,0.4373422273321934
1,47,0.3240088948409327
1,51,0.3563462162331095
1,52,0.416712314953897
1,54,0.46773614205277225
1,56,0.3166425200973204
1,58,0.328124862265318
2,3,0.46826510482438366
2,4,0.7982282810684823
2,5,0.552366342532336
2,7,0.5171211298807787
2,8,0.4320479927046917
2,9,0.4589997123366747
2,10,0.5629162636922717
2,11,0.7358962451783432
2,12,0.4541347772289183
2,13,0.8355527435221928
2,14,0.6164026783048286
2,16,0.48152266372680935
2,18,0.3807760564963126
2,19,0.41638235639086646
2,20,0.3077738536445472
2,22,0.5337580315651774
2,24,0.31378096914532083
2,27,0.5946999833028801
2,30,0.3285799080332516
2,34,0.31774182838840553
2,35,0.43937965542081836
2,38,0.3716439800917016
2,39,0.4219119724388392
2,41,0.3256874192039324
2,45,0.3172428958605402
2,47,0.4670173581853204
2,50,0.42730696435727394
2,51,0.44076136767790014
2,53,0.3123432766213371
3,4,0.6157730957574649
