i,j,w
0,7,0.46248546402190455
0,10,0.3641396390977451
0,14,0.4112633968971443
0,25,0.33721342326877196
0,37,0.36724436512742636
0,58,0.3267703539330919
1,3,0.4117701632907209
1,4,0.3369352893328744
1,5,0.4436016193553126
1,6,0.36243399718107056
1,7,0.3204046798580952
1,8,0.522809649545842
1,10,0.47449570582835915
1,12,0.39224559755450994
1,58,0.32898897800397053
2,3,0.5497814712500494
2,4,0.6061785375543397
2,5,0.4757849146872431
2,8,0.38164480633016695
2,9,0.4000472914459979
2,10,0.41054929927455786
2,11,0.7193001404318907
2,12,0.3928257720933542
2,13,0.4770868481895275
2,22,0.5083989777294853
2,27,0.42737159376511835
2,42,0.33141066130535346
2,50,0.34373574624991055
2,53,0.3106157676316849
3,4,0.5466346779581742
3,5,0.49768174459865017
3,7,0.44576634990728936
3,8,0.5150585483471374
3,9,0.7589856041736344
3,10,0.7792358642338916
3,11,0.590738156970854
3,12,0.4277890730202346
3,16,0.3641306535493872
3,22,0.44858203691367915
3,42,0.33544585802579546
3,45,0.32956552694077174
3,46,0.32448194974722605
3,47,0.48392528789478706
3,50,0.39419472273326894
3,54,0.3213912627998547
3,58,0.38559980118100073
4,5,0.5523617806957307
4,8,0.45740460269197175
4,9,0.3225876554343644
4,10,0.5701113528558788
4,11,0.693557077568651
4,12,0.43729140956318546
4,13,0.6412235779641987
4,16,0.5512070593649833
4,22,0.5506319925135357
4,27,0.5016566867542341
4,42,0.3015136827709738
4,50,0.37751998107262735
4,58,0.3184881393483653
5,6,0.3029158206961549
5,7,0.339701335880547
5,8,0.6712852548764348
5,9,0.3428593979636561
5,10,0.6169609014904709
5,11,0.3976255413152368
5,12,0.3741914763440907
5,13,0.40982145501212913
5,18,0.3252177942535276
5,22,0.5115329143278334
5,30,0.34077509522327737
5,42,0.34473858549722475
5,45,0.368899828017598
5,47,0.3802280300103046
5,50,0.31199291929196193
5,54,0.4106108971163003
5,58,0.5350129049932487
6,7,0.5341893849005764
6,8,0.404272416916483
6,10,0.3839968010848779
6,19,0.41847368393320994
6,23,0.3652390701328981
6,25,0.4551156353119096
6,32,0.41350025923688954
6,33,0.3470718642160912
6,36,0.3156591741096138
6,40,0.3008060481585881
6,41,0.3087952474838159
6,42,0.5844187879103669
6,49,0.3917951578374176
6,51,0.30587295861217295
6,56,0.34456491022016855
7,8,0.3122672566758687
7,10,0.5714826003407044
7,25,0.4260795111223911
7,42,0.35762651081359587
7,46,0.30608041730087543
8,9,0.3973326858711481
8,10,0.6733777094545987
8,11,0.3659435852700758
8,12,0.4454726600998655
8,13,0.4838363101403358
8,14,0.3149649579037473
8,16,0.35868459029012467
8,18,0.5276013529215963
8,20,0.47088837773405906
8,22,0.3855297959586369
8,25,0.3509010759629144
8,27,0.4113869870047422
8,32,0.4315314591989033
8,34,0.3964321444992246
8,36,0.30868354634435347
8,38,0.3180269836687682
8,42,0.5096410485056235
8,45,0.49464045584133437
8,46,0.3316427060700427
8,47,0.43131869008525126
8,50,0.42715378021661093
8,51,0.3756826032218435
8,54,0.3896880645609093
8,58,0.5018355181904528
9,10,0.5742864038047626
9,11,0.37729281138897003
9,22,0.31746132689995776
9,47,0.586876607051923
10,11,0.44117939064966305
10,12,0.6117266580878538
10,13,0.3772996825832576
10,16,0.4209173957611141
10,18,0.35648703458506287
10,20,0.35730336401231977
10,22,0.4297960128250459
10,25,0.30390166555979975
10,27,0.3644501608553429
10,42,0.4373899644164964
