i,j,w
0,1,0.5133219964435529
0,2,0.3423966047266277
0,3,0.4023409118750843
0,4,0.41616258367877984
0,5,0.46523242117547436
0,6,0.37468752303099384
0,7,0.5227304556421525
0,8,0.476746660086502
0,10,0.5460256181998795
0,11,0.44189175842113415
0,13,0.448513188185369
0,14,0.4172144803132554
0,15,0.3891563368341876
0,16,0.4762976188938599
0,21,0.3307240708581288
0,22,0.4127400178576652
0,25,0.3233605054865524
0,27,0.48612562436749035
0,34,0.3799708011915206
0,42,0.32199309341930393
0,46,0.3364385857923491
0,47,0.32639912714046476
0,49,0.3040437357210002
0,51,0.42045527659139853
0,52,0.3135875608182888
0,54,0.36291824464948097
1,3,0.5084205070387379
1,4,0.3827818260625209
1,5,0.4806129503366044
1,6,0.33426872466166224
1,8,0.444184860066526
1,9,0.3891652588074692
1,10,0.42048348832035676
1,11,0.3744115863370256
1,13,0.33470293138563684
1,14,0.4445913215088447
1,16,0.44212970305956134
1,27,0.36245302781249117
1,34,0.3193283713978152
1,46,0.3816407626530444
1,51,0.35873758625847535
1,52,0.35252817053331215
1,54,0.3982994248348158
1,57,0.3019217378712393
2,3,0.39351675836265515
2,4,0.745938080020552
2,5,0.5466715921544469
2,6,0.39351926961753986
2,7,0.37581317420756566
2,8,0.3941012965993506
2,10,0.4048010596806074
2,11,0.6831413669143218
2,12,0.39161215278664296
2,13,0.7105682463884997
2,14,0.5327479087054428
2,16,0.3776671917591347
2,18,0.42370759322430257
2,19,0.31184969980268085
2,20,0.3462201454317095
2,22,0.3488983506260946
2,25,0.31619549054620255
2,27,0.6710048486033217
2,34,0.3227877790284659
2,38,0.3523763030990176
2,47,0.5298395787366784
2,49,0.36984441726280154
2,50,0.3819605873876428
2,51,0.3777622446731171
2,57,0.318952836291681
3,4,0.5883577181601662
3,5,0.5065422630385604
3,6,0.5238957804143478
3,7,0.5642982894619597
3,8,0.5416515310777777
3,9,0.5201333157973143
3,10,0.6523583115577174
3,11,0.4734038235457007
3,12,0.4840611894099735
3,13,0.4763782227197814
3,14,0.6079798906471904
3,15,0.379763194395681
3,16,0.3872198181273395
3,17,0.47116673943920556
3,18,0.3272876415771286
3,22,0.44488622026682484
3,23,0.30053094785961376
3,27,0.49810302525937405
3,29,0.43115172808582075
3,32,0.4916260456288733
3,34,0.5025892848002187
3,36,0.4440314960073028
3,38,0.5262483574109328
3,44,0.45067650657271474
3,45,0.5830755105293348
3,47,0.4852505577862703
3,48,0.37639362877589255
3,49,0.4055554323173482
3,50,0.4239764724837279
3,51,0.4145551830942807
3,52,0.4136184192851114
3,54,0.40529339777427964
3,57,0.33791521702856353
4,5,0.5189650152891271
4,6,0.43281055210920916
4,7,0.44092501714970084
4,8,0.48403713674040155
4,9,0.4362951727127863
4,10,0.5069842274254924
4,11,0.8108531558466027
4,12,0.5035912276417781
4,13,0.7948429878560874
4,14,0.6781733962202887
4,16,0.5359464426955743
4,17,0.31081030469898197
4,18,0.5161221498049418
4,19,0.30570553543341433
4,20,0.47133557819492433
4,22,0.36488474315013575
4,25,0.3399357727056611
4,26,0.31899974844155216
4,27,0.6237121097519231
4,31,0.32003811072056104
4,34,0.33427997697551115
4,35,0.3471965633568071
4,38,0.3993590420308178
4,45,0.3809959789268939
4,47,0.5219473760314802
4,48,0.3442172411038779
4,49,0.3477406396034884
4,50,0.39586786315482614
4,51,0.4602176272669663
4,52,0.4657113593242826
4,54,0.3237914483210999
5,6,0.5559836037408586
5,7,0.5163434466488207
5,8,0.3811404724774778
5,9,0.4138883354957592
5,10,0.44803442422611417
5,11,0.5524786593400555
5,12,0.3866751552149536
5,13,0.4895269960864971
5,14,0.48796057750330035
5,15,0.3566402157689146
5,16,0.3542928356301046
5,17,0.40903573910278856
5,18,0.4439410745969751
5,20,0.39414895570268943
5,22,0.42109683451292623
5,27,0.5613383117635568
5,32,0.423384171233936
5,34,0.5722534940093158
5,36,0.36867126770203723
5,38,0.5130839269329184
5,44,0.3592558115113615
5,45,0.5117239328161276
5,47,0.551862697484848
5,48,0.3759518889608833
5,49,0.3578272681721653
5,50,0.4199540079724269
5,51,0.3418420576890103
5,52,0.38084166826908783
5,57,0.3687812953546133
6,7,0.45292541442334716
6,8,0.37190567140099123
6,10,0.438776682999584
6,11,0.4184275636449909
6,12,0.3833372796925935
