i,j,w
0,1,0.4070406041470866
0,2,0.39209308481102834
0,7,0.373221835745017
0,8,0.4042123036190439
0,9,0.41207193169395473
0,10,0.4447791829710899
0,11,0.38783842389569234
0,12,0.30805296667343124
0,13,0.36636609244335316
0,14,0.42814977234843965
0,16,0.3582722471773337
0,20,0.34380262695327113
0,22,0.45849385517677904
0,27,0.4479900854425446
0,41,0.34614019790715483
0,45,0.34118325825069323
0,54,0.3255899792315234
1,2,0.6248830773247607
1,3,0.4798493015881005
1,4,0.5560072632008841
1,5,0.4852958090808983
1,7,0.33932116088432374
1,8,0.6417730926795624
1,9,0.5291097004630237
1,10,0.5978134459050741
1,11,0.5198388085473773
1,12,0.5789451645584838
1,13,0.5179607537837116
1,14,0.40684882486185703
1,17,0.408499082631856
1,20,0.3776239165462902
1,22,0.6200021135173114
1,27,0.6181688823396148
1,34,0.30626749442472206
1,38,0.3443988297359414
1,45,0.40806371022989524
1,47,0.36754385369824866
1,49,0.31972826554693556
1,50,0.3291951731908239
1,52,0.3859582582279968
1,54,0.40507278211059206
1,58,0.5063470344815376
2,3,0.488378319143749
2,4,0.5735419175367316
2,5,0.36051759693073393
2,7,0.360912059862625
2,8,0.48757407190415514
2,9,0.5319469800694541
2,10,0.5492772240583678
2,11,0.6230173705292078
2,12,0.5385771656499522
2,13,0.39366298757726703
2,14,0.46000463333079017
2,22,0.6483305788953355
2,27,0.625881644440301
2,45,0.32058953066432966
2,54,0.34449365097835344
2,58,0.3827307160285808
3,5,0.491952779633362
3,7,0.4900811903927269
3,8,0.3948332398154074
3,9,0.46073863489185685
3,10,0.4584606624851839
3,11,0.404540612843669
3,13,0.33581577877308233
3,14,0.38968415285327596
3,17,0.38537751004278836
3,22,0.4675794296820478
3,31,0.3537300168921489
3,33,0.41508136679342933
3,58,0.31075091148136524
4,5,0.4561235725676778
4,8,0.3712023042806505
4,9,0.41434749618380406
4,10,0.40008821124462707
4,11,0.6491235904448499
4,12,0.44823061816382376
4,13,0.3978928360993052
4,14,0.45273212531858464
4,15,0.34616006316233927
4,16,0.3619357614850181
4,22,0.36409868440187904
4,27,0.5709046397946854
4,50,0.3179852501453347
4,52,0.32881528152279077
4,54,0.3107871583552921
5,7,0.37635829131403337
5,8,0.5252194456343907
5,9,0.5456303264283594
5,10,0.35829627452313645
5,11,0.402757558797885
5,13,0.35021203589208516
5,14,0.4318657541140728
5,17,0.33363673839696467
5,20,0.30415829418007934
5,22,0.44764377628661
5,25,0.314312933528711
5,27,0.3591782510235737
5,58,0.3374056959811246
6,27,0.3747959085811476
6,32,0.3820951355059776
6,38,0.3316479764464252
6,40,0.370346566326336
6,42,0.33112915876419335
6,47,0.3715064475472761
6,48,0.3680014249121257
6,51,0.33048241907316267
6,59,0.4036216943328454
7,8,0.36048396253581266
7,9,0.508069274335617
7,10,0.3564484309562523
7,11,0.43976206657726596
7,14,0.4856020360158251
7,22,0.4137067333851638
7,40,0.30240318951029566
7,56,0.37372513114684097
8,9,0.6198957634570997
8,10,0.4802894426470005
8,11,0.36185630086956516
8,12,0.38788255815930417
8,13,0.3643046720753851
8,14,0.37538799942781476
8,16,0.38590514769282613
8,18,0.40483779731097186
8,20,0.5205153074358537
8,21,0.32756688013979335
8,22,0.5922119323385708
8,24,0.30091744815122995
8,25,0.44091896747372994
8,27,0.5282702329035496
8,33,0.3679015812313757
8,39,0.30843608374535414
8,45,0.3515225230545732
8,50,0.3919149009451768
8,52,0.39092687885886923
8,54,0.3576397282130689
8,58,0.39002452583583286
9,10,0.4855856868394467
9,11,0.6085282572540504
9,12,0.3474662116813216
9,14,0.4903788047623827
9,15,0.3043068624444616
9,16,0.30666530000053105
9,22,0.5692486143590129
9,27,0.3491795971035121
9,58,0.31802017978931413
10,11,0.509630108672629
10,12,0.6102534316591203
10,14,0.4714000627569628
10,16,0.3792735870506657
10,22,0.6456493373902941
10,26,0.3721157519905219
10,27,0.5292378239524336
10,38,0.3724206385667861
10,45,0.32845947609182474
10,52,0.3550541856151306
10,54,0.321636871271852
10,58,0.3222746101775873
11,12,0.37015809232792285
11,14,0.5189527281835838
11,22,0.46678558448963875
11,27,0.4039667586949048
12,22,0.4918279207382304
12,23,0.3848353263317594
12,25,0.3581207397483813
12,27,0.47149441272830067
12,52,0.3468175930113273
12,54,0.375852738380824
12,58,0.3558775893316329
13,17,0.344268357774802
13,27,0.5561204438971343
13,47,0.32011254687624213
13,57,0.32853680777859456
14,16,0.31856875249498934
14,22,0.6093734844139409
14,27,0.3012134675095593
14,35,0.3105780843583857
15,21,0.3746921853063112
15,27,0.3535001239146031
15,30,0.3229577785695167
15,57,0.5203936062460035
16,18,0.3989852759711989
16,19,0.35874671852141266
16,21,0.33156030020740623
16,23,0.30353632267191744
16,24,0.48884634809009025
16,25,0.3019215606069332
16,26,0.35180056178322244
16,29,0.7257586277660829
16,39,0.46906837682433444
16,46,0.3241866985013307
16,52,0.3722328760699666
16,54,0.4856606196248066
16,58,0.3182576869064352
17,22,0.34759111779572
17,28,0.3585111256938398
17,34,0.3048051434919775
17,48,0.34558845488591894
17,54,0.3224195671179768
17,57,0.43958600721389085
17,59,0.302164805810353
18,20,0.6613609039250624
18,21,0.3918935878514352
18,23,0.3738108415774769
18,25,0.4898578947738288
18,26,0.38148778408824513
18,27,0.3118660816354784
