i,j,w
0,3,0.37840626682528133
0,4,0.39791258671052343
0,5,0.4863331159823165
0,7,0.5460144497464823
0,8,0.5642824810288015
0,10,0.5221916578381915
0,12,0.3996583204753584
0,13,0.34362951120092117
0,22,0.3226466421628373
0,23,0.315381100642706
0,25,0.48746643994105965
0,27,0.44147078597705863
0,47,0.3399274987680561
0,54,0.38243689748206894
0,56,0.37128480123813873
0,57,0.3204755513258186
0,58,0.39607796633221387
1,3,0.47510804176703364
1,4,0.4410413821909166
1,5,0.5666835495360821
1,6,0.3819513820924033
1,7,0.34522688745277524
1,8,0.5966113591072042
1,10,0.596518839451332
1,11,0.315844435668358
1,12,0.3973707298132847
1,13,0.32330118286460047
1,22,0.3454693349450357
1,58,0.4013666935858863
2,3,0.48856158875938893
2,4,0.6090052375555924
2,5,0.4993355564150466
2,8,0.4544720983162963
2,9,0.427544894136633
2,10,0.45864086943672167
2,11,0.7283792011629477
2,12,0.3780263922151379
2,13,0.4669251707369914
2,16,0.3157758644530545
2,18,0.34305189883627374
2,20,0.30614462136006887
2,22,0.42627560353834143
2,27,0.4107648752962964
2,47,0.34322747609603854
2,50,0.3020932514070068
2,58,0.33295100240340797
3,4,0.542568697629162
3,5,0.5403337212510152
3,7,0.4904787827720826
3,8,0.5897197222738805
3,9,0.775133135048614
3,10,0.7791692266521799
3,11,0.5732305663045619
3,12,0.4125062015625043
3,16,0.34341798873824547
3,18,0.33662703689817147
3,20,0.31867623417729546
3,22,0.31435231252614343
3,27,0.30681179220578575
3,45,0.3457094842174708
3,47,0.4434113690667625
3,50,0.3482027717701813
3,54,0.30602629720865654
3,58,0.3398232419331837
4,5,0.6092404882726045
4,8,0.5786149530659889
4,9,0.41937261894538963
4,10,0.5938185907829747
4,11,0.7029444590122693
4,12,0.46729716460210174
4,13,0.6673911335159421
4,14,0.3053237787152006
4,16,0.5992551188213329
4,18,0.32927162421378847
4,22,0.41737746508633644
4,27,0.5971603585815535
4,47,0.3829588672438862
4,50,0.40832439107700513
4,58,0.3530864471501122
5,8,0.8056233363555989
5,9,0.3573687885153565
5,10,0.6201925252949332
5,11,0.472494943285546
5,12,0.3678998799907306
5,13,0.42994930586904084
5,14,0.32151959422123194
5,18,0.465730621678701
5,20,0.3794185212110633
5,22,0.46212838157531705
5,25,0.3968826046832482
5,27,0.44468392881883206
5,42,0.36115525017459915
5,45,0.33696519733157404
5,47,0.41258652461943557
5,50,0.48041076468601984
5,54,0.36444814235362133
5,58,0.49096431455245354
6,7,0.561569727048169
6,8,0.37751329402023553
6,10,0.3942899795515324
6,15,0.31183369041199804
6,25,0.4465699119815944
6,42,0.4383828050614776
6,49,0.38246181171922355
6,56,0.41358350835220714
7,8,0.385524829688483
7,10,0.6283179155891155
7,25,0.3887368357552767
7,42,0.3023434996150799
7,46,0.3218759850775902
8,9,0.4577019309410021
8,10,0.6793639378603913
8,11,0.5169542145114632
8,12,0.49361672076605717
8,13,0.5693245806891799
8,16,0.3464701775099199
8,18,0.3843424960396006
8,20,0.3497116030519072
8,22,0.4798563960942976
8,25,0.3924403703273984
8,27,0.46615639683662063
8,45,0.34010839052778685
8,47,0.4916359114199638
8,50,0.4281005839788674
8,51,0.3361404977463814
8,54,0.3588012701005529
8,56,0.3805725101089845
8,58,0.45793817361696665
9,10,0.5432203110721762
9,11,0.4417887001935972
9,12,0.303021485480562
9,15,0.30008023424210223
9,16,0.3295594120486199
9,45,0.3198853213122217
9,47,0.41015695458441037
9,48,0.3141686697626794
9,50,0.30453058138949224
10,11,0.517996952988619
10,12,0.6154107187495703
10,13,0.32625025650635414
10,16,0.39737961203472993
10,18,0.44248183189160883
10,20,0.32239243609320833
10,22,0.39628309244090437
10,25,0.4392953822615485
10,27,0.35141791211659124
10,47,0.3319494726642211
10,56,0.3184940317766669
10,58,0.49136083895072286
11,12,0.569299879821846
11,13,0.4564604483101006
11,16,0.5814674066173896
11,18,0.37469557862877984
11,20,0.30686537900054844
11,22,0.3113328122757213
11,27,0.3399906297852527
11,47,0.373157622537157
11,50,0.40469164498468685
11,54,0.3309417938709097
11,58,0.4188387224762765
12,13,0.323936597273578
12,16,0.48178848154595655
12,18,0.32065034426099986
12,20,0.32005126881954854
12,22,0.3867603068154395
12,47,0.3522943562880259
12,50,0.31489449553852783
12,54,0.3446729393446006
12,58,0.3932506906423644
13,16,0.384125085183887
13,22,0.34181293291203707
13,27,0.682715646805863
13,37,0.32594980051800876
13,47,0.31613525821919464
13,50,0.3354132524155361
13,51,0.406905998118553
14,21,0.35255699209207886
14,27,0.4040411631510062
14,42,0.33534867630467136
14,43,0.4095120480731415
14,50,0.3206850525221092
14,54,0.34586246435916457
14,56,0.32114505161134194
14,58,0.32788754287249994
15,28,0.3750576234401689
15,31,0.39718253811048004
15,35,0.311652423553706
15,41,0.33376453992857397
15,55,0.3958066564526444
16,18,0.3960501535552701
16,27,0.33841593129985836
16,45,0.3199783653149647
16,50,0.3244323047223122
17,25,0.37250917761529706
18,20,0.7874086722629317
18,25,0.3647209478805359
18,27,0.30522841709807474
18,34,0.43855622033941744
18,36,0.33960941603761363
18,42,0.41227514337024745
18,45,0.37270748612022125
18,47,0.4614158815150227
18,50,0.35186282631403504
18,54,0.4144380225013663
18,55,0.34532932189096477
18,58,0.3585390635983653
19,24,0.5762887680970199
19,26,0.4623347217366031
19,28,0.39836863145973556
19,29,0.5708404834345793
19,30,0.3010027052579763
19,31,0.4395244209733009
19,35,0.41751930344136806
19,37,0.4653754806616948
19,39,0.6589652805232386
19,40,0.365178580827131
19,41,0.6256995879788088
19,42,0.37145685930759353
19,46,0.3781677420385616
19,52,0.4641860720094334
19,53,0.3603596221851652
19,55,0.46269462298618
19,56,0.42338594939844276
20,23,0.33498639939831953
20,34,0.5571397852269935
20,36,0.3016779671315593
20,41,0.3921115298705036
20,42,0.391457020817195
20,47,0.5397685999618934
20,49,0.3357447961904939
20,50,0.488110149186916
20,54,0.49257338121526406
20,55,0.3915545529154279
20,56,0.38991993478971027
20,58,0.39190018974346685
21,27,0.3270251204139576
21,56,0.41134379368778234
21,58,0.34738478769962705
22,26,0.311119430404889
22,47,0.3395348594316684
22,53,0.31333833939004563
24,28,0.5970813154143655
24,29,0.33811193414137325
24,30,0.37938432376997466
24,31,0.31268689654131937
24,37,0.3936913683093346
24,39,0.5469216682323401
24,41,0.3820500059300856
24,42,0.31584992476687174
24,46,0.33128590016530696
24,51,0.3285259296012282
24,52,0.3508015919080587
24,55,0.3101972145739748
24,59,0.3054740510677084
25,27,0.3498646948728021
25,42,0.3171722419990327
25,52,0.34571343745712163
25,56,0.5026853124999472
25,58,0.3091513065525419
26,35,0.321422362161072
26,40,0.3105117436623979
26,41,0.30042270454523917
27,34,0.3062156605662525
27,42,0.35544518148533144
27,44,0.3012616396396809
27,47,0.33937929651077325
27,50,0.3459803321876233
27,51,0.46444856530350953
27,57,0.36761575408912556
28,31,0.3650567390049361
28,32,0.3038909294543721
28,39,0.3280651634394575
28,46,0.35240390998823196
28,55,0.3602641660631485
29,30,0.3664199037059648
29,31,0.3000558421592738
29,39,0.36917674277467366
29,42,0.3191097986157231
29,52,0.40014445661848136
30,35,0.3517703107212646
30,37,0.57377587270707
30,40,0.3040765640183884
30,42,0.32804084742671424
30,46,0.3124221605438247
30,54,0.34818936918046106
30,58,0.3012678311300303
31,33,0.30341485370490134
31,35,0.3687722443126447
31,37,0.43055296909378693
31,39,0.3896188083253829
31,41,0.42845349961717294
